"locus","null.major.loglik","null.major.pars","cluster.major.loglik","cluster.major.pars","popfluc.major.loglik","popfluc.major.pars","insol.major.loglik","insol.major.pars","milk.major.loglik","milk.major.pars","null.minor.loglik","null.minor.pars","cluster.minor.loglik","cluster.minor.pars","popfluc.minor.loglik","popfluc.minor.pars","insol.minor.loglik","insol.minor.pars","milk.minor.loglik","milk.minor.pars","cluster.inv.major.loglik","cluster.inv.major.pars","popfluc.inv.major.loglik","popfluc.inv.major.pars","insol.inv.major.loglik","insol.inv.major.pars","milk.inv.major.loglik","milk.inv.major.pars","cluster.inv.minor.loglik","cluster.inv.minor.pars","popfluc.inv.minor.loglik","popfluc.inv.minor.pars","insol.inv.minor.loglik","insol.inv.minor.pars","milk.inv.minor.loglik","milk.inv.minor.pars"
"rs1805008",-301.33879484257,"2.13469077866625e-16,1,0.951923076436145,0.960317460928228,0.967775467113885,0.966431095710925",-301.33879484257,"2.13469077866625e-16,1,0.951923076436145,0.960317460928228,0.967775467113885,0.966431095710925",-300.480494735014,"0.594400335090186,0.000756477758705963,0.915338870162543,0.960317431554425,0.967775415306091,0.966431081695634",-301.334420618672,"0.999999907380044,0.0757560282390507,0.951920444478349,0.960317138001065,0.967747070410689,0.965123998214223",-300.325212112889,"0.999999999316511,0.128859751865865,0.876287220678643,0.959256191137313,0.96739243868234,0.964097172230315",-297.563157143712,"0.0251511355896134,1,0.0310065549613132,0.0284192431936216,0.0235064110069835,0.0228037916446394",-297.563157143712,"0.0251511355896134,1,0.0310065549613132,0.0284192431936216,0.0235064110069835,0.0228037916446394",-297.438761052706,"0.200943412837087,0.226756884001214,0.0291711739697359,0.0247216092438817,0.024521494987205,0.0256379884538348",-297.563157143712,"0.0251511355896134,1,0.0310065549613132,0.0284192431936216,0.0235064110069835,0.0228037916446394",-297.563157143712,"0.0251511355896134,1,0.0310065549613132,0.0284192431936216,0.0235064110069835,0.0228037916446394",-301.33879484257,"2.13469077866625e-16,1,0.951923076436145,0.960317460928228,0.967775467113885,0.966431095710925",-301.320249685206,"0.999999998758,0.0573788273316655,0.951519516317638,0.959693528414579,0.967692074385351,0.96628467719397",-301.33879484257,"2.13469077866625e-16,0.848965991084979,0.951923076436145,0.960317460928228,0.967775467113885,0.966431095710925",-301.33879484257,"2.13469077866625e-16,1,0.951923076436145,0.960317460928228,0.967775467113885,0.966431095710925",-294.60810753228,"0.869099796385551,0.0482258765860542,0.00309331434190151,0.0352862582848185,0.0298210908993652,0.00118033875595388",-297.52848140932,"0.0258616487604956,0.999999977485772,0.0312860156765493,0.0281337663987163,0.023285964495308,0.0225447730133827",-297.148408301215,"0.234733260422598,0.21315120867038,0.0224452858005769,0.0149786414380779,0.0237548234898129,0.0302568484885783",-297.245090174139,"0.0804889150059543,0.283886869970531,0.0299963990150502,0.023289445834554,0.0210171157436051,0.0235779075755838"
"rs28777",-862.967067827053,"0.0365834569941559,1,0.430795791823231,0.414966575973765,0.520027292732426,0.41596067920653",-862.760243483863,"0.0476344629865942,0.762755094997504,0.450518316143035,0.40069199872409,0.507498479375923,0.453113010935818",-862.664097568814,"0.106096522563796,0.383457783741498,0.443439887787132,0.41235497727992,0.524310082167951,0.432654616561969",-862.967067827053,"0.0365834569941559,1,0.430795791823231,0.414966575973765,0.520027292732426,0.41596067920653",-862.874989297286,"0.0494152727055607,0.780447325539334,0.443541548260257,0.43996480231781,0.525002102854921,0.41096941214409",-870.422769557186,"1.34912169877932e-17,1,0.432539680722296,0.479999997001679,0.366197182362496,0.446236556331076",-870.422769557186,"1.34912169877932e-17,0.0158562741821603,0.432539680722296,0.479999997001679,0.366197182362496,0.446236556331076",-870.422769557186,"1.34912169877932e-17,0.0228418384270149,0.432539680722296,0.479999997001679,0.366197182362496,0.446236556331076",-870.422769557186,"1.34912169877932e-17,0.139647254644849,0.432539680722296,0.479999997001679,0.366197182362496,0.446236556331076",-870.422769557186,"1.34912169877932e-17,0.0249169661076728,0.432539680722296,0.479999997001679,0.366197182362496,0.446236556331076",-862.967067827053,"0.0365834569941559,1,0.430795791823231,0.414966575973765,0.520027292732426,0.41596067920653",-862.967067827053,"0.0365834569941559,1,0.430795791823231,0.414966575973765,0.520027292732426,0.41596067920653",-862.602593302546,"0.0681187409510273,0.520158786294428,0.398317892747563,0.377975115139315,0.513326550567969,0.446540974784216",-862.967067827053,"0.0365834569941559,1,0.430795791823231,0.414966575973765,0.520027292732426,0.41596067920653",-870.422769557186,"1.34912169877932e-17,0.0150149005341452,0.432539680722296,0.479999997001679,0.366197182362496,0.446236556331076",-870.422769557186,"0.123628093318531,0.000504177105219949,0.432539680722296,0.479999997001679,0.366197182362496,0.446236556331076",-870.422769557186,"1.34912169877932e-17,0.346433438816019,0.432539680722296,0.479999997001679,0.366197182362496,0.446236556331076",-870.422769557186,"1.34912169877932e-17,0.00560755488238035,0.432539680722296,0.479999997001679,0.366197182362496,0.446236556331076"
"rs16891982",-1301.19268980153,"0.0569597001486297,1,0.273734643374614,0.296018027606573,0.365496121653616,0.218285473259151",-1300.71370830302,"0.0712990417827904,0.771545809888397,0.30285355064029,0.282379129734967,0.353756076686639,0.266386803036319",-1300.67074789736,"0.135248359601346,0.434795137088897,0.289882912356186,0.299932464655045,0.37146680338169,0.235330741422618",-1301.19268980153,"0.0569597001486297,1,0.273734643374614,0.296018027606573,0.365496121653616,0.218285473259151",-1300.99703182695,"0.0574434787238254,0.999999988857858,0.308710990163761,0.328627243906539,0.364070988194665,0.216915788432937",-1330.17490947953,"7.45372782152502e-17,1,0.519108284151286,0.552631564443691,0.461215933913952,0.591726618205535",-1330.17490947953,"7.45372782152502e-17,1,0.519108284151286,0.552631564443691,0.461215933913952,0.591726618205535",-1330.17490947953,"7.45372782152502e-17,0.00394309630689586,0.519108284151286,0.552631564443691,0.461215933913952,0.591726618205535",-1330.17490947953,"7.45372782152502e-17,1,0.519108284151286,0.552631564443691,0.461215933913952,0.591726618205535",-1330.17490947953,"0.255839538207228,0.00463477732841682,0.519108284151286,0.552631564443691,0.461215933913952,0.591726618205535",-1301.19268980153,"0.0569597001486297,1,0.273734643374614,0.296018027606573,0.365496121653616,0.218285473259151",-1301.19268980153,"0.0569597001486297,1,0.273734643374614,0.296018027606573,0.365496121653616,0.218285473259151",-1300.63739540595,"0.0878609157200551,0.603528197538284,0.246178581519677,0.263811121986882,0.360357687557058,0.247573842340247",-1301.19268980153,"0.0569597001486297,1,0.273734643374614,0.296018027606573,0.365496121653616,0.218285473259151",-1330.17490947953,"7.45372782152502e-17,0.0108415067769155,0.519108284151286,0.552631564443691,0.461215933913952,0.591726618205535",-1330.17490947953,"0.149937762435236,0.000663506352888197,0.519108284151286,0.552631564443691,0.461215933913952,0.591726618205535",-1330.17490947953,"7.45372782152502e-17,1,0.519108284151286,0.552631564443691,0.461215933913952,0.591726618205535",-1330.17490947953,"7.45372782152502e-17,0.0061300874279141,0.519108284151286,0.552631564443691,0.461215933913952,0.591726618205535"
"rs12821256",-219.711394128188,"3.00218499645797e-16,1,0.945945945291261,0.944444445728107,0.956869009556773,0.975935827661966",-219.711394128188,"3.00218499645797e-16,0.0188759930877113,0.945945945291261,0.944444445728107,0.956869009556773,0.975935827661966",-219.711394128188,"3.00218499645797e-16,0.00840717695466039,0.945945945291261,0.944444445728107,0.956869009556773,0.975935827661966",-219.711394128188,"0.0107423979861673,0.0137943802735749,0.945945945291261,0.944444445728107,0.956869009556773,0.975935827661966",-219.711394128188,"3.00218499645797e-16,1,0.945945945291261,0.944444445728107,0.956869009556773,0.975935827661966",-219.028833707351,"0.0273091801705432,1,0.0368717810752908,0.0399415347922683,0.0304866081419659,0.0157739022739339",-218.973514875975,"0.0419908463827411,0.617559574842035,0.040715979012249,0.0376412477098491,0.0291897166685473,0.0192637992079607",-218.961472571709,"0.0904029274156983,0.358003662816894,0.0379679279256861,0.0389968435313391,0.030794006095137,0.0166111793100879",-219.028833707351,"0.0273091801705432,1,0.0368717810752908,0.0399415347922683,0.0304866081419659,0.0157739022739339",-218.50241545713,"0.299574490191506,0.267766673883879,0.0184748813044994,0.046102391661623,0.0361318637376049,0.015611893388315",-219.711394128188,"3.00218499645797e-16,1,0.945945945291261,0.944444445728107,0.956869009556773,0.975935827661966",-219.710553246461,"0.999998003372534,0.0387980399162594,0.94593128235799,0.944397900128795,0.956865444040328,0.975926445512171",-219.711394128188,"0.00225894929995476,0.00912586017969833,0.945945945291261,0.944444445728107,0.956869009556773,0.975935827661966",-219.711394128188,"3.00218499645797e-16,0.00969622734816478,0.945945945291261,0.944444445728107,0.956869009556773,0.975935827661966",-218.987964107981,"0.0298271900862784,0.984893823072418,0.035698968950408,0.0399342189243452,0.0302705060998883,0.0151813233876576",-219.024326468887,"0.0275673379710008,0.999999967135865,0.0374650345160789,0.0398084534163275,0.0303804169741661,0.0157080285881736",-219.018069946008,"0.0516758615500037,0.48300341212231,0.0343306182514434,0.0357027476363697,0.030700197534204,0.0181167289409604",-219.028833707351,"0.0273091801705432,1,0.0368717810752908,0.0399415347922683,0.0304866081419659,0.0157739022739339"
"rs4959270",-1182.76713384202,"3.87040665696498e-16,1,0.493150682332703,0.471698110317844,0.549140047145521,0.533864544263151",-1182.76713384202,"3.87756536469391e-17,0.0102062136615075,0.493150682332703,0.471698110317844,0.549140047145521,0.533864544263151",-1182.75727049516,"0.033446249745476,0.075790738090388,0.485818281110429,0.467131589787628,0.548996245115347,0.533774362433852",-1182.76713384202,"3.87040665696498e-16,1,0.493150682332703,0.471698110317844,0.549140047145521,0.533864544263151",-1182.69321351072,"0.999999991918665,0.0694091187980301,0.450981494102239,0.471634806897177,0.549130202978422,0.533604523904664",-1180.86811367097,"0.0156635433882351,1,0.447073296718116,0.482718159214947,0.404265782433697,0.406352654620678",-1180.27199960183,"0.261742020001376,0.000135560220857639,0.504213519118968,0.460723935736479,0.406185158252794,0.463827032637927",-1180.86805065997,"0.0160937355745182,0.962856605693862,0.447352078592446,0.48286084007486,0.404304142293535,0.406513942940884",-1179.52692719766,"0.138525931138304,0.250786902201228,0.482495920315623,0.518296234489087,0.410678981899951,0.34467811150436",-1180.83978239936,"0.0158748446768113,0.999999982711273,0.458159032500645,0.492643990013169,0.403639825108984,0.405553718834885",-1182.76713384202,"3.87040665696498e-16,0.00280434207511905,0.493150682332703,0.471698110317844,0.549140047145521,0.533864544263151",-1182.76713384202,"0.24584786023798,0.00380165123502024,0.493150682332703,0.471698110317844,0.549140047145521,0.533864544263151",-1182.16668071735,"0.999999998140303,0.0838615050983736,0.462643105267887,0.403983930088693,0.545485488216988,0.533747905958643",-1182.76349201711,"0.0226401737847535,0.00393809320366825,0.475993867269558,0.45666426022501,0.549140172276109,0.533864651723019",-1180.62441117493,"0.0542817053626491,0.279862307634526,0.423462768989622,0.513307758567023,0.430139895907644,0.346454679229502",-1180.83462751696,"0.0226845120447969,0.667527930293253,0.44571682792507,0.482803605992747,0.403174386901389,0.403263586127689",-1180.86811367097,"0.0156635433882351,1,0.447073296718116,0.482718159214947,0.404265782433697,0.406352654620678",-1180.84334511864,"0.0192390108856787,0.69984344458827,0.452904319285713,0.47961727385856,0.402075834623701,0.407303354780116"
"rs12203592",-586.444571120452,"4.29439970782711e-16,1,0.83587786258301,0.706896547913372,0.872191011664244,0.916289590210185",-586.444571120452,"4.29439970782711e-16,0.22764081936137,0.83587786258301,0.706896547913372,0.872191011664244,0.916289590210185",-584.543646378473,"0.430242074784309,0.08893857192943,0.760376200615969,0.6331226014516,0.87014034505776,0.915413539702725",-586.379330651476,"0.999999995741456,0.0893837623233446,0.835820963059793,0.706887137986766,0.871687472934635,0.908107253593809",-585.571445002484,"0.999999999919917,0.107957125867007,0.722668771219902,0.704835561102265,0.871818812591659,0.914376800613077",-586.297396307435,"0.00669260548157257,1,0.15076474420322,0.27498276043031,0.118552906002917,0.0763672223509333",-582.040971286006,"0.300687262338319,0.0335901500826082,0.161651189317235,0.22846144806576,0.0819356823544014,0.0830055018484722",-586.295636479697,"0.0077703022062983,0.829476961539197,0.151001890742454,0.275116172963816,0.118543200009526,0.0764287528439589",-586.0455072922,"0.0376638881150415,0.37694208379559,0.150426643218446,0.279828462528668,0.113609004352089,0.0661211442994663",-586.257221437823,"0.00763879582018948,0.999999988720999,0.15187829138435,0.276617379756721,0.117275311535286,0.0753664584485321",-586.388379769573,"0.111290132455675,0.0380948955650315,0.810932667106993,0.706557911233027,0.871863526944898,0.898450113115499",-586.16472093802,"0.999999997924718,0.0982111361832309,0.807975616931312,0.661188949262171,0.863781485884286,0.909037618060424",-584.500733944065,"0.999999999840347,0.0995934525842401,0.794361866715451,0.573750230748747,0.866615619622752,0.916082215305895",-585.358159167749,"0.342922769663813,0.00172600212867683,0.590978945374562,0.438875376359545,0.872190878974134,0.916289186727936",-586.297396307435,"0.00669260548157257,1,0.15076474420322,0.27498276043031,0.118552906002917,0.0763672223509333",-586.255750023428,"0.0107858586401129,0.675675429393914,0.148827324141439,0.27279726198002,0.117157408439312,0.0750665407530562",-586.297396307435,"0.00669260548157257,1,0.15076474420322,0.27498276043031,0.118552906002917,0.0763672223509333",-585.992461911101,"0.0449608784492136,0.206622447454699,0.139240998999147,0.247586868145538,0.111037591846189,0.0759131804157846"
"rs1042602",-859.037283938877,"8.93061045772888e-18,1,0.816901411900705,0.903508768476564,0.830607475033031,0.770758123350993",-859.037283938877,"3.48851971005035e-20,0.010252385122142,0.816901411900705,0.903508768476564,0.830607475033031,0.770758123350993",-859.037283938877,"8.93061045772888e-18,1,0.816901411900705,0.903508768476564,0.830607475033031,0.770758123350993",-859.037283938877,"0.132091420455046,0.00043412880789083,0.816901411900705,0.903508768476564,0.830607475033031,0.770758123350993",-859.037283938877,"0.0408217900248323,0.00464887096489411,0.816901411900705,0.903508768476564,0.830607475033031,0.770758123350993",-844.230915392421,"0.0535432704056018,1,0.0881703199082181,0.0521831770995808,0.0915459702968379,0.110156420953809",-844.005017473002,"0.0589933446355533,0.914288552079223,0.09347390730466,0.0502126088997601,0.0886329962234541,0.12088087987973",-841.628896009042,"0.339080217258634,0.259774299553701,0.0770331024814947,0.038326617797404,0.0932793891014734,0.127277003825686",-844.230915392421,"0.0535432704056018,1,0.0881703199082181,0.0521831770995808,0.0915459702968379,0.110156420953809",-843.488673981845,"0.124820956549291,0.540753611532244,0.075014446146706,0.0622066013712537,0.101658014740553,0.103591344486027",-859.037283938877,"8.93061045772888e-18,0.00183732197919953,0.816901411900705,0.903508768476564,0.830607475033031,0.770758123350993",-859.025257860884,"0.999999976773084,0.0444472087954417,0.81674152170963,0.903294046713502,0.83056384676504,0.770596695084392",-859.037283938877,"8.93061045772888e-18,0.0407735099970773,0.816901411900705,0.903508768476564,0.830607475033031,0.770758123350993",-859.037283938877,"8.93061045772888e-18,0.0110106141131203,0.816901411900705,0.903508768476564,0.830607475033031,0.770758123350993",-843.951369654914,"0.0569820053982532,0.984660053719175,0.0844484348870465,0.0531461013445418,0.0920404647250518,0.10499357021512",-844.230915392421,"0.0535432704056018,1,0.0881703199082181,0.0521831770995808,0.0915459702968379,0.110156420953809",-844.230834689225,"0.054093228216891,0.985817943564055,0.0878975613761129,0.0519907802913727,0.0914576040318371,0.110470540268069",-844.230915392421,"0.0535432704056018,1,0.0881703199082181,0.0521831770995808,0.0915459702968379,0.110156420953809"
"rs1393350",-724.71617307713,"4.48161148055403e-17,1,0.85616438411289,0.85714285065208,0.86407766753847,0.839843748622548",-724.71617307713,"4.48161148055403e-17,1,0.85616438411289,0.85714285065208,0.86407766753847,0.839843748622548",-724.71617307713,"4.48161148055403e-17,0.00809409771888491,0.85616438411289,0.85714285065208,0.86407766753847,0.839843748622548",-724.71617307713,"0.106082865774592,0.00699170406462015,0.85616438411289,0.85714285065208,0.86407766753847,0.839843748622548",-724.71617307713,"4.48161148055403e-17,1,0.85616438411289,0.85714285065208,0.86407766753847,0.839843748622548",-720.494155531747,"0.0324359002603805,1,0.0926110071787038,0.100232418881722,0.0938377925711429,0.102257196081827",-719.921805375002,"0.0619644486413479,0.530462597279342,0.103555710443751,0.0890129027908612,0.0854946873653416,0.131607324981412",-716.993792136973,"0.623497100301088,0.157242090592586,0.0476788315958099,0.0534754286246471,0.104953666760222,0.128569574227179",-720.494155531747,"0.0324359002603805,0.999999994855908,0.0926110071787038,0.100232418881722,0.0938377925711429,0.102257196081827",-720.494155531747,"0.0324359002603805,1,0.0926110071787038,0.100232418881722,0.0938377925711429,0.102257196081827",-724.71617307713,"4.48161148055403e-17,0.0113404454001507,0.85616438411289,0.85714285065208,0.86407766753847,0.839843748622548",-724.71617307713,"0.196844825330068,0.00244893631843832,0.85616438411289,0.85714285065208,0.86407766753847,0.839843748622548",-724.71617307713,"0.221821405103815,0.00120041345812187,0.85616438411289,0.85714285065208,0.86407766753847,0.839843748622548",-724.71617307713,"4.48161148055403e-17,0.0091510201317745,0.85616438411289,0.85714285065208,0.86407766753847,0.839843748622548",-720.494155531747,"0.0324359002603805,1,0.0926110071787038,0.100232418881722,0.0938377925711429,0.102257196081827",-720.494155531747,"0.0324359002603805,1,0.0926110071787038,0.100232418881722,0.0938377925711429,0.102257196081827",-717.400226531064,"0.568213254990244,0.172958446682148,0.0534578517339028,0.0331910840677686,0.0964547485704387,0.148198964705473",-720.494155531747,"0.0324359002603805,1,0.0926110071787038,0.100232418881722,0.0938377925711429,0.102257196081827"
"rs12913832",-1159.16582276088,"0.0157711859841269,1,0.393944868256578,0.544849701727686,0.42547390534812,0.254900394805317",-1157.91247474945,"0.0983417798892065,0.154358736366406,0.438394705685251,0.532858223162634,0.416646405503071,0.302481554927246",-1159.16582276088,"0.0157711859841269,1,0.393944868256578,0.544849701727686,0.42547390534812,0.254900394805317",-1159.16389714418,"0.0167685596364756,0.925779387512364,0.395139108057618,0.546573813739473,0.425530379162594,0.253851479307015",-1158.1366725418,"0.264637821299564,0.224072647677532,0.279889635875174,0.569857865330568,0.455345740194625,0.261463770975038",-1161.05931926483,"1.52235881105236e-17,1,0.548507460276495,0.409090911833614,0.525943395635196,0.696498057468789",-1161.05931926483,"1.52235881105236e-17,1,0.548507460276495,0.409090911833614,0.525943395635196,0.696498057468789",-1160.87513508604,"0.126472497204907,0.0946539125204195,0.517389315959059,0.387885109425891,0.524125370797421,0.695479337180407",-1161.01415556132,"0.999999966278036,0.0794651772624657,0.548483993158553,0.409087472305259,0.525574375789504,0.685139147017611",-1161.05318636976,"0.999999655186048,0.0405529553971523,0.545144828344868,0.409091391363691,0.525943274897844,0.696497188386003",-1159.16582276088,"0.0157711859841269,1,0.393944868256578,0.544849701727686,0.42547390534812,0.254900394805317",-1158.99749944713,"0.0311997707122915,0.52340564898544,0.387418660479242,0.541747478371494,0.422649174992463,0.249789576478028",-1159.08353783123,"0.0244022961173381,0.607710600650311,0.38468420622821,0.533658895154016,0.423480528777494,0.262574055464488",-1159.16582276088,"0.0157711859841269,1,0.393944868256578,0.544849701727686,0.42547390534812,0.254900394805317",-1161.05931926483,"1.52235881105236e-17,0.00599419008375185,0.548507460276495,0.409090911833614,0.525943395635196,0.696498057468789",-1161.05931926483,"0.178549698999307,0.000793197043805771,0.548507460276495,0.409090911833614,0.525943395635196,0.696498057468789",-1160.48813645666,"0.999999997574666,0.0785338923877344,0.52777540737205,0.358354953690147,0.523648643677776,0.696453715568503",-1159.22582091788,"0.442039871909147,0.00437541550400739,0.174255348618749,0.125578673704122,0.525942793483758,0.696497675173985"
"rs1800407",-517.845614310706,"2.68890050566792e-17,1,0.8940397342059,0.956896547689298,0.904816514535809,0.932926829740131",-517.845614310706,"2.68890050566792e-17,0.092884546428478,0.8940397342059,0.956896547689298,0.904816514535809,0.932926829740131",-517.845614310706,"2.68890050566792e-17,0.0660751599731255,0.8940397342059,0.956896547689298,0.904816514535809,0.932926829740131",-517.845614310706,"2.68890050566792e-17,1,0.8940397342059,0.956896547689298,0.904816514535809,0.932926829740131",-517.845614310706,"0.0504638115037521,0.00354304243670661,0.8940397342059,0.956896547689298,0.904816514535809,0.932926829740131",-513.413655293665,"0.0428658048424703,1,0.0574843510901871,0.0255212922235004,0.0564364650801772,0.0346257592963532",-511.477670454292,"0.121361181432082,0.365434412559491,0.0732470554287454,0.0202067799631841,0.0471003768417018,0.0587270172510624",-512.323886254529,"0.247600604339765,0.274355780930594,0.0531001087423473,0.0203421920860966,0.0563594251757342,0.0381197622912619",-513.413655293665,"0.0428658048424703,1,0.0574843510901871,0.0255212922235004,0.0564364650801772,0.0346257592963532",-512.632526172169,"0.321561938485895,0.295800109303431,0.0267539965334875,0.0327724774778587,0.0735564694329744,0.0361273501046276",-517.615086265637,"0.351659676895503,3.24919640504788e-05,0.845449657351729,0.956896185492621,0.904433795034011,0.902911172592006",-517.798493286254,"0.999999986585883,0.0702665355447309,0.89081132927202,0.955059858346655,0.903884446464799,0.932023705178097",-517.840732706111,"0.999999953714032,0.0496953136741122,0.893737001415514,0.95622931915054,0.90480797640472,0.93292668988978",-517.597850543377,"0.313014980184687,0.000685137088575542,0.732306430546315,0.894499087190705,0.904816395695301,0.932927295144031",-513.413655293665,"0.0428658048424703,1,0.0574843510901871,0.0255212922235004,0.0564364650801772,0.0346257592963532",-513.413655293665,"0.0428658048424703,1,0.0574843510901871,0.0255212922235004,0.0564364650801772,0.0346257592963532",-512.734813486579,"0.139686346868861,0.357152016826063,0.0419492469168049,0.0160211458882173,0.0538943905167128,0.0460872578772102",-513.413655293665,"0.0428658048424703,1,0.0574843510901871,0.0255212922235004,0.0564364650801772,0.0346257592963532"
