"locus","null.major.loglik","null.major.pars","stress.major.loglik","stress.major.pars","trauma.major.loglik","trauma.major.pars","null.minor.loglik","null.minor.pars","stress.minor.loglik","stress.minor.pars","trauma.minor.loglik","trauma.minor.pars","stress.inv.major.loglik","stress.inv.major.pars","trauma.inv.major.loglik","trauma.inv.major.pars","stress.inv.minor.loglik","stress.inv.minor.pars","trauma.inv.minor.loglik","trauma.inv.minor.pars"
"rs1805008",-330.051488501659,"8.4907792161678e-17,1,0.948717948448413,0.968253968483535,0.965696465521831,0.954063603273664",-330.051488501659,"8.4907792161678e-17,1,0.948717948448413,0.968253968483535,0.965696465521831,0.954063603273664",-330.051488501659,"8.4907792161678e-17,0.896325046523215,0.948717948448413,0.968253968483535,0.965696465521831,0.954063603273664",-326.614388927975,"0.0191155495785309,1,0.0364093156511088,0.0246862538024631,0.0270911194671528,0.03446449513008",-325.221562079422,"0.999999998094702,0.300078261255921,0.0111779725223511,0.00776883378816245,0.0122914779101254,0.0272839481495127",-325.144746170386,"0.999999998797449,0.327138381255364,0.039626660020385,0.0265544246624754,3.80134399624641e-11,0.039944298935716",-330.051488501659,"8.4907792161678e-17,1,0.948717948448413,0.968253968483535,0.965696465521831,0.954063603273664",-329.505523982001,"0.543792375858865,0.00663486013070676,0.948706072125349,0.968153725282658,0.964958060479601,0.946719106896253",-324.814757027769,"0.999999998481832,0.00118099881909331,0.0480771254474386,0.0317458193679052,0.0313031068968754,0.0455564334547284",-326.614388927975,"0.0191155495785309,1,0.0364093156511088,0.0246862538024631,0.0270911194671528,0.03446449513008"
"rs28777",-861.751913089103,"0.0427737037307697,1,0.388307788359332,0.407157839795709,0.503996082879485,0.362274604980095",-861.63600880535,"0.160441202491645,0.543970675752563,0.318112520316582,0.342445484510843,0.457004528740738,0.36052093736475",-858.012032927687,"0.606433497393942,0.446282246942563,0.389659059121457,0.400996421637448,0.304403400638518,0.392419576089637",-872.036703591417,"2.34864329552004e-17,1,0.452380946778545,0.460000008804319,0.362676056807439,0.478494630488222",-872.036703591417,"2.34864329552004e-17,0.0102752140131685,0.452380946778545,0.460000008804319,0.362676056807439,0.478494630488222",-872.036703591417,"3.66975514925007e-19,0.0776303104034086,0.452380946778545,0.460000008804319,0.362676056807439,0.478494630488222",-861.751913089103,"0.0427737037307697,1,0.388307788359332,0.407157839795709,0.503996082879485,0.362274604980095",-861.751913089103,"0.0427737037307697,1,0.388307788359332,0.407157839795709,0.503996082879485,0.362274604980095",-872.036703591417,"2.34864329552004e-17,0.000179635954111499,0.452380946778545,0.460000008804319,0.362676056807439,0.478494630488222",-872.036703591417,"0.00499703708665443,9.54756141772957e-05,0.452380946778545,0.460000008804319,0.362676056807439,0.478494630488222"
"rs16891982",-1291.11530538528,"0.0604854366583555,1,0.270043485027689,0.264735057726343,0.356161747630459,0.191067290464818",-1291.11530538528,"0.0604854366583555,1,0.270043485027689,0.264735057726343,0.356161747630459,0.191067290464818",-1291.11530538528,"0.0604854366583555,1,0.270043485027689,0.264735057726343,0.356161747630459,0.191067290464818",-1323.46499129487,"9.89631011741044e-17,1,0.509554137803492,0.57894737177329,0.460167713031064,0.616906474875681",-1323.46499129487,"0.112806080315251,0.00248877879906684,0.509554137803492,0.57894737177329,0.460167713031064,0.616906474875681",-1323.46499129487,"1.93287306980673e-19,0.0441586254291147,0.509554137803492,0.57894737177329,0.460167713031064,0.616906474875681",-1289.0107048545,"0.142407788029613,0.203141099316468,0.349846982393056,0.332810421136203,0.410696397011846,0.189117945542189",-1291.0266307057,"0.0611096782727694,0.999999976955046,0.268040802620974,0.263244135335221,0.367982634485116,0.18944823836362",-1323.46499129487,"9.89631011741044e-17,0.000832139894792693,0.509554137803492,0.57894737177329,0.460167713031064,0.616906474875681",-1323.46499129487,"0.000292709938369653,5.92079431624249e-05,0.509554137803492,0.57894737177329,0.460167713031064,0.616906474875681"
"rs12821256",-218.897163276176,"0.0167627826876799,1,0.93785934919457,0.933359013041963,0.943699315517591,0.972726644159062",-218.873932107747,"0.999999933298274,0.230435602076661,0.911959787993089,0.913997670398725,0.931444663912365,0.975211213564024",-216.543495263239,"0.750177746852376,0.0513654523515281,0.950450290368094,0.944444276919266,0.855037512042802,0.978609622046995",-219.165360995657,"4.66711715587948e-17,1,0.0495495497867398,0.0555555550580165,0.0463258781130807,0.0213903746532335",-219.165360995657,"0.410120831483172,0.0173335952747236,0.0495495497867398,0.0555555550580165,0.0463258781130807,0.0213903746532335",-219.165360995657,"4.66711715587948e-17,0.0760569540839247,0.0495495497867398,0.0555555550580165,0.0463258781130807,0.0213903746532335",-217.15260789948,"0.999999996704146,0.0316272807868851,0.949994162258954,0.944134582098513,0.950393121477371,0.974559399770366",-218.75666273382,"0.159189852857114,0.0354546773979208,0.94372366560941,0.939943230657865,0.945648956589404,0.972058110863379",-219.165360995657,"4.66711715587948e-17,6.83136226534451e-05,0.0495495497867398,0.0555555550580165,0.0463258781130807,0.0213903746532335",-219.165360995657,"4.66711715587948e-17,0.000899569643969922,0.0495495497867398,0.0555555550580165,0.0463258781130807,0.0213903746532335"
"rs4959270",-1177.42088824508,"1.61630962679948e-16,1,0.51369863388983,0.452830175878081,0.565110566466322,0.555776897301725",-1177.30811465641,"0.999999969314011,0.152496373580028,0.485442904312199,0.431609622097687,0.546200813673909,0.552686764949302",-1177.42088824508,"1.61630962679948e-16,0.00166757170964781,0.51369863388983,0.452830175878081,0.565110566466322,0.555776897301725",-1175.0921611909,"0.0174014017669183,1,0.420271837107968,0.496669447241863,0.3836601459914,0.378720168777773",-1175.07816114137,"0.0202904836827769,0.919063776907496,0.417054592406578,0.493885833038788,0.381714446412996,0.378227341712093",-1175.0921611909,"0.0174014017669183,1,0.420271837107968,0.496669447241863,0.3836601459914,0.378720168777773",-1177.27344511449,"0.999999965532786,0.000387161051832539,0.513698597359927,0.452830083846466,0.563190851840699,0.555691742351078",-1177.42088824508,"1.61630962679948e-16,0.000127807037277721,0.51369863388983,0.452830175878081,0.565110566466322,0.555776897301725",-1174.97209929495,"0.0265637977317467,0.35465363879882,0.435406605740889,0.510054832810108,0.392664249782403,0.378333120137338",-1174.95428753566,"0.0396764459868917,0.107232625383665,0.429528676684996,0.506388244537413,0.392486018119445,0.376242210301283"
"rs12203592",-575.52663184706,"1.50421039372153e-15,1,0.816793899471886,0.672413789659993,0.887640451252989,0.916289592367948",-573.892386934097,"0.999999999682714,0.228578526552365,0.709570412722094,0.549696209035707,0.840831696789794,0.904553135560189",-575.52663184706,"1.50421039372153e-15,1,0.816793899471886,0.672413789659993,0.887640451252989,0.916289592367948",-575.492522422102,"0.00328180748410204,1,0.175950405258697,0.318079047045867,0.108258339631734,0.0800522045604938",-575.492522422102,"0.00328180748410204,1,0.175950405258697,0.318079047045867,0.108258339631734,0.0800522045604938",-574.996251123285,"0.441543963933903,0.0623015728827869,0.183206152574502,0.32758540465942,0.0678479913988911,0.0837101864979224",-575.52663184706,"1.50421039372153e-15,0.67313194116502,0.816793899471886,0.672413789659993,0.887640451252989,0.916289592367948",-575.351484977155,"0.999999993752024,0.00326561634944421,0.816794289339331,0.672269863085219,0.88736306341162,0.909992504335915",-575.341492135073,"0.0227580526123603,0.157890811158329,0.174537849343084,0.317140609309735,0.106193124972021,0.0756596242925637",-575.492522422102,"0.00328180748410204,1,0.175950405258697,0.318079047045867,0.108258339631734,0.0800522045604938"
"rs1042602",-879.509331535981,"2.64453352757085e-18,1,0.806338030689201,0.885964907624964,0.818925232090569,0.776173282595157",-879.509331535981,"2.64453352757085e-18,0.123349003248932,0.806338030689201,0.885964907624964,0.818925232090569,0.776173282595157",-879.509331535981,"2.64453352757085e-18,0.0291184111346886,0.806338030689201,0.885964907624964,0.818925232090569,0.776173282595157",-864.344208938514,"0.0533319634499627,1,0.0942218912106563,0.0625238122437601,0.0988868165215414,0.107442605723385",-864.344208938514,"0.0533319634499627,1,0.0942218912106563,0.0625238122437601,0.0988868165215414,0.107442605723385",-864.344208938514,"0.0533319634499627,1,0.0942218912106563,0.0625238122437601,0.0988868165215414,0.107442605723385",-879.509331535981,"2.64453352757085e-18,6.87049852315265e-05,0.806338030689201,0.885964907624964,0.818925232090569,0.776173282595157",-879.509331535981,"4.57044415108275e-19,8.74035488177363e-05,0.806338030689201,0.885964907624964,0.818925232090569,0.776173282595157",-863.990468279972,"0.0816441145109643,0.332934615723666,0.116128660316926,0.0768283499373409,0.113137134798177,0.109596790946093",-863.76356221096,"0.0976979971887036,0.140431460007332,0.103294596509796,0.0691020665529566,0.109889754948723,0.105313240122551"
"rs1393350",-681.333888922022,"2.7860558152133e-17,1,0.873287673221064,0.880952381075053,0.86771844638519,0.865234376983811",-681.333888922022,"2.7860558152133e-17,1,0.873287673221064,0.880952381075053,0.86771844638519,0.865234376983811",-681.333888922022,"2.7860558152133e-17,0.091860338961416,0.873287673221064,0.880952381075053,0.86771844638519,0.865234376983811",-677.937406972862,"0.0302577580576318,1,0.0835845062477652,0.0849622665610261,0.0936729755031827,0.0878944730455499",-676.348782022633,"0.889120310738019,0.313853752209062,0.0310258370697879,0.0328290791663037,0.050170035918594,0.0803173220188255",-677.937406972862,"0.0302577580576318,1,0.0835845062477652,0.0849622665610261,0.0936729755031827,0.0878944730455499",-681.333888922022,"2.7860558152133e-17,0.000151549380141669,0.873287673221064,0.880952381075053,0.86771844638519,0.865234376983811",-681.332123163443,"0.999999887830754,0.00113911918893547,0.87328762086544,0.880951715196867,0.867718059491488,0.865096222576441",-677.937406972862,"0.0302577580576318,1,0.0835845062477652,0.0849622665610261,0.0936729755031827,0.0878944730455499",-677.921974145738,"0.0305350311970701,0.99999993023876,0.0832505901972816,0.0846786786414804,0.0958894555150426,0.0875272481983947"
"rs12913832",-1140.88210456246,"0.0275526583692969,1,0.32822473592936,0.481574918412508,0.379298308425622,0.199133326258288",-1140.88210456246,"0.0275526583692969,1,0.32822473592936,0.481574918412508,0.379298308425622,0.199133326258288",-1140.88210456246,"0.0275526583692969,1,0.32822473592936,0.481574918412508,0.379298308425622,0.199133326258288",-1146.58712526823,"3.00792864326246e-17,1,0.57462687167136,0.436363630821443,0.536556606534521,0.72373541004392",-1146.06647779713,"0.999999998293841,0.179205194091396,0.516875857591069,0.391799417540747,0.497394185876762,0.71642493759855",-1146.58712526823,"3.00792864326246e-17,0.0208027067076031,0.57462687167136,0.436363630821443,0.536556606534521,0.72373541004392",-1138.70387885138,"0.124433249180507,0.123180241453073,0.377904210537971,0.529023404234505,0.410514417667523,0.192646460796271",-1140.81054833432,"0.0279318836045417,0.999999982568162,0.326946175688291,0.480435563796762,0.384516443176097,0.19816551577764",-1146.58712526823,"3.00792864326246e-17,2.604668629266e-05,0.57462687167136,0.436363630821443,0.536556606534521,0.72373541004392",-1146.58712526823,"0.00223267298901537,5.17359234722603e-06,0.57462687167136,0.436363630821443,0.536556606534521,0.72373541004392"
"rs1800407",-542.358842737226,"2.68412695087367e-17,1,0.874172188922161,0.94827586734538,0.901376145897542,0.930894309129706",-542.335456597915,"0.999999915815982,0.143151631197425,0.86476992777374,0.945045795246035,0.896262215137151,0.930387186918221",-542.358842737226,"2.68412695087367e-17,1,0.874172188922161,0.94827586734538,0.901376145897542,0.930894309129706",-540.319767951054,"0.028233455493997,1,0.0854946419926015,0.037167090867283,0.0707996437094043,0.0452847279573262",-540.139894242984,"0.0587537379945453,0.70380145609591,0.0765380384636385,0.033342076241501,0.0657414219810045,0.0442818809671417",-540.235075591033,"0.154029156252281,0.566804144943072,0.0838718517228098,0.0361094288192918,0.0618733697824093,0.0474577413948902",-541.804045478546,"0.999999957086208,0.000834732580628077,0.874171976199452,0.948276250054803,0.899474161425488,0.930740219759326",-542.358570753671,"0.999996504630376,0.00102615967225281,0.87417252401003,0.948275596611797,0.901376479534649,0.930854470333924",-540.319745359414,"0.0283778438336148,0.978389712303028,0.0856317768059098,0.0372256599832524,0.0708724309773645,0.0452887619131703",-540.311532433912,"0.0285403262514057,0.999999937807989,0.085119423881744,0.0370249316697383,0.0723547423141509,0.0450654933206549"
