"locus","null.major.loglik","null.major.pars","cluster.major.loglik","cluster.major.pars","popfluc.major.loglik","popfluc.major.pars","insol.major.loglik","insol.major.pars","milk.major.loglik","milk.major.pars","null.minor.loglik","null.minor.pars","cluster.minor.loglik","cluster.minor.pars","popfluc.minor.loglik","popfluc.minor.pars","insol.minor.loglik","insol.minor.pars","milk.minor.loglik","milk.minor.pars","cluster.inv.major.loglik","cluster.inv.major.pars","popfluc.inv.major.loglik","popfluc.inv.major.pars","insol.inv.major.loglik","insol.inv.major.pars","milk.inv.major.loglik","milk.inv.major.pars","cluster.inv.minor.loglik","cluster.inv.minor.pars","popfluc.inv.minor.loglik","popfluc.inv.minor.pars","insol.inv.minor.loglik","insol.inv.minor.pars","milk.inv.minor.loglik","milk.inv.minor.pars"
"rs1805008",-274.664683038357,"5.84599629041402e-17,1,0.96153846199821,0.976190475643678,0.966735966616279,0.973498233308991",-274.664683038357,"5.84599629041402e-17,0.0390954675573676,0.96153846199821,0.976190475643678,0.966735966616279,0.973498233308991",-274.215145259514,"0.522412396166871,0.000425691403153156,0.937755588900243,0.976190330336126,0.966735975503748,0.9734981547736",-274.636047238914,"0.999999951265402,0.0894397442048293,0.961522803980233,0.976189748013125,0.966594688431132,0.970633622617423",-274.040372527026,"0.999999998962979,0.124003742257487,0.907122906250565,0.975672059377964,0.966436598459014,0.971995751673095",-270.020859622586,"0.0360498619437875,1,0.0205185162798883,0.0144357042625441,0.0209409038156603,0.015010978086462",-270.020859622586,"0.0360498619437875,1,0.0205185162798883,0.0144357042625441,0.0209409038156603,0.015010978086462",-270.020859622586,"0.0360498619437875,1,0.0205185162798883,0.0144357042625441,0.0209409038156603,0.015010978086462",-270.020859622586,"0.0360498619437875,1,0.0205185162798883,0.0144357042625441,0.0209409038156603,0.015010978086462",-270.020859622586,"0.0360498619437875,1,0.0205185162798883,0.0144357042625441,0.0209409038156603,0.015010978086462",-274.664683038357,"5.84599629041402e-17,0.0391697153152263,0.96153846199821,0.976190475643678,0.966735966616279,0.973498233308991",-274.657526850182,"0.999999704775204,0.0470720720845143,0.961471938197527,0.97608699242159,0.96671882722088,0.973462957318853",-274.664683038357,"0.0105653447226647,0.00819496131622763,0.96153846199821,0.976190475643678,0.966735966616279,0.973498233308991",-274.664683038357,"5.84599629041402e-17,0.0214379759445216,0.96153846199821,0.976190475643678,0.966735966616279,0.973498233308991",-266.116679273653,"0.917215997940985,0.044905957421628,0.00157266204076553,0.0195873436376834,0.0297701840673598,0.000611097865538296",-269.60922176012,"0.475160598584913,0.203678146608488,0.0137336358054429,0.00983223476331024,0.0195639837379673,0.0125860961010057",-269.302330945176,"0.334070232329416,0.220814317811805,0.0117535082150952,0.00478937102142657,0.0202933902117311,0.0222403656181769",-269.373617056092,"0.138659815370776,0.239322297005352,0.0183868131870152,0.0102263019053442,0.0178997575500268,0.0167973571728255"
"rs28777",-862.17356646093,"0.0342528317550959,1,0.455674141173147,0.421642372994295,0.531328560984203,0.416504205921355",-860.059386570295,"0.0771696149120229,0.479024690005254,0.488931049153175,0.378522743519961,0.494265783112658,0.492908514515354",-861.342631309888,"0.165958909215046,0.289284871612938,0.458575180042617,0.40510471537618,0.537717431263134,0.440892054650581",-862.17356646093,"0.0342528317550959,1,0.455674141173147,0.421642372994295,0.531328560984203,0.416504205921355",-862.17356646093,"0.0342528317550959,1,0.455674141173147,0.421642372994295,0.531328560984203,0.416504205921355",-868.771287928092,"5.54747340685228e-17,1,0.416666673097832,0.469999996551125,0.362676056502767,0.456989244738746",-868.771287928092,"5.54747340685228e-17,0.0333069811391382,0.416666673097832,0.469999996551125,0.362676056502767,0.456989244738746",-868.771287928092,"5.54747340685228e-17,1,0.416666673097832,0.469999996551125,0.362676056502767,0.456989244738746",-868.720825200007,"0.999999971510152,0.0802389681511594,0.416640762121048,0.469998181243464,0.362287276085662,0.443390607929029",-868.771287928092,"0.109196932290101,0.0016917326379318,0.416666673097832,0.469999996551125,0.362676056502767,0.456989244738746",-862.17356646093,"0.0342528317550959,1,0.455674141173147,0.421642372994295,0.531328560984203,0.416504205921355",-862.17356646093,"0.0342528317550959,1,0.455674141173147,0.421642372994295,0.531328560984203,0.416504205921355",-858.9811489838,"0.185100762036781,0.283324828696858,0.358405651232354,0.301834868788365,0.515512750082104,0.48166372719257",-859.206464890366,"0.289645999541619,0.137977042750148,0.291720847024254,0.250618628396822,0.512320988692175,0.482800088006462",-868.771287928092,"5.54747340685228e-17,0.0716248183772012,0.416666673097832,0.469999996551125,0.362676056502767,0.456989244738746",-868.771287928092,"0.342892737555545,0.00390380951330324,0.416666673097832,0.469999996551125,0.362676056502767,0.456989244738746",-868.771287928092,"0.233299593977159,0.00264497325179923,0.416666673097832,0.469999996551125,0.362676056502767,0.456989244738746",-868.771287928092,"5.54747340685228e-17,0.0249568464521829,0.416666673097832,0.469999996551125,0.362676056502767,0.456989244738746"
"rs16891982",-1304.62421186283,"0.056513195126157,1,0.28560356349332,0.320768192373122,0.359749878109214,0.224830233972391",-1304.30933055094,"0.0700058363803769,0.779227828539856,0.314760833669801,0.307508410343835,0.348842430572736,0.272063884178359",-1304.31990865046,"0.100937911048248,0.539128922294566,0.299572790391865,0.32679356019309,0.36329308582127,0.235616433635368",-1304.62421186283,"0.056513195126157,1,0.28560356349332,0.320768192373122,0.359749878109214,0.224830233972391",-1304.3836677224,"0.0570449798373542,0.999999988666567,0.320982741239979,0.354228458321259,0.358190410254676,0.223296728835836",-1333.60112137756,"4.10456700415365e-18,1,0.506369426191011,0.526315789831662,0.468553463657665,0.582733813699457",-1333.60112137756,"4.10456700415365e-18,1,0.506369426191011,0.526315789831662,0.468553463657665,0.582733813699457",-1333.60112137756,"4.10456700415365e-18,0.0227746184934143,0.506369426191011,0.526315789831662,0.468553463657665,0.582733813699457",-1333.60112137756,"0.423243395428416,0.00293948524347085,0.506369426191011,0.526315789831662,0.468553463657665,0.582733813699457",-1333.60112137756,"0.0367638503487853,0.00013580963044567,0.506369426191011,0.526315789831662,0.468553463657665,0.582733813699457",-1304.62421186283,"0.056513195126157,1,0.28560356349332,0.320768192373122,0.359749878109214,0.224830233972391",-1304.62421186283,"0.056513195126157,1,0.28560356349332,0.320768192373122,0.359749878109214,0.224830233972391",-1304.21975103437,"0.0812825652170935,0.645493981942149,0.262090836714478,0.293367550959574,0.355325742394842,0.249634687625428",-1304.62421186283,"0.056513195126157,0.999999992030032,0.28560356349332,0.320768192373122,0.359749878109214,0.224830233972391",-1333.60112137756,"4.10456700415365e-18,0.0251968957242011,0.506369426191011,0.526315789831662,0.468553463657665,0.582733813699457",-1333.60112137756,"4.10456700415365e-18,1,0.506369426191011,0.526315789831662,0.468553463657665,0.582733813699457",-1333.60112137756,"0.0821563964717451,0.00560913722903627,0.506369426191011,0.526315789831662,0.468553463657665,0.582733813699457",-1333.60112137756,"4.10456700415365e-18,0.00823898585542479,0.506369426191011,0.526315789831662,0.468553463657665,0.582733813699457"
"rs12821256",-190.104782491112,"1.82150444413799e-17,1,0.972972972221947,0.933333333892088,0.96166134181662,0.978609625518616",-190.104782491112,"1.82150444413799e-17,0.0259122822601951,0.972972972221947,0.933333333892088,0.96166134181662,0.978609625518616",-190.104782491112,"1.82150444413799e-17,0.195662354757184,0.972972972221947,0.933333333892088,0.96166134181662,0.978609625518616",-190.104782491112,"0.132716081941031,0.00273295590588934,0.972972972221947,0.933333333892088,0.96166134181662,0.978609625518616",-190.104782489523,"0.112448741692986,0.0148502724583384,0.972972607056063,0.933333776103993,0.961661317831471,0.978609627461773",-184.497720580712,"0.085101138590737,1,0.0073189774355612,0.0205341676287667,0.0112321296894308,0.00499225264012141",-184.47591718015,"0.0862016207738926,0.999999986513731,0.00785644235017664,0.0202058212187652,0.0110771684054912,0.00533582368528164",-184.497720580712,"0.085101138590737,1,0.0073189774355612,0.0205341676287667,0.0112321296894308,0.00499225264012141",-184.307329860458,"0.168179036572632,0.545286026405067,0.00921189520757743,0.0305133908480371,0.0107287265779715,0.00290761456498076",-184.048134723929,"0.280734385604403,0.460676327637675,0.00338098855023653,0.0270954391813682,0.0142477284931329,0.00379280154089014",-190.104782491112,"1.82150444413799e-17,0.0216321219761608,0.972972972221947,0.933333333892088,0.96166134181662,0.978609625518616",-190.104445390419,"0.999998284859373,0.032335194366581,0.972971773215205,0.933323312666877,0.961661031413661,0.978606323770584",-190.104782491112,"0.298655244674366,0.00208322039261092,0.972972972221947,0.933333333892088,0.96166134181662,0.978609625518616",-190.104782491112,"1.82150444413799e-17,0.00270160362970039,0.972972972221947,0.933333333892088,0.96166134181662,0.978609625518616",-184.408166506771,"0.102398186477537,0.861185697822761,0.00630034205174262,0.0217207921443396,0.0118841441741432,0.00385698056435052",-184.306203529515,"0.189058387995429,0.464801294887571,0.00635648930958667,0.0197113588007437,0.0109479149777593,0.00446799850857515",-184.497720580712,"0.085101138590737,1,0.0073189774355612,0.0205341676287667,0.0112321296894308,0.00499225264012141",-184.497720580712,"0.085101138590737,0.999999994515453,0.0073189774355612,0.0205341676287667,0.0112321296894308,0.00499225264012141"
"rs4959270",-1182.03344821728,"4.87452861319166e-16,1,0.489726025695794,0.452830175343494,0.544226043573056,0.547808765224388",-1182.03344821728,"4.87452861319166e-16,0.0285155272422157,0.489726025695794,0.452830175343494,0.544226043573056,0.547808765224388",-1182.01126922585,"0.0501094994359403,0.0761549862166446,0.47864417264048,0.445973397980061,0.544004807246945,0.547669859763868",-1182.03344821728,"0.126752291394149,0.00675235957458067,0.489726025695794,0.452830175343494,0.544226043573056,0.547808765224388",-1181.74153763705,"0.999999995061331,0.0814297624142897,0.416325656856677,0.452555570690665,0.544168339521819,0.546854422316353",-1181.26646178568,"0.00997933213986792,1,0.472202245878603,0.518326899937214,0.42598098924484,0.41425400919807",-1181.03566009291,"0.174223827014522,0.000106431196726693,0.508617708780394,0.504625439184184,0.427467767247336,0.450746637292022",-1181.21868815159,"0.021777805282257,0.471239585452248,0.474678017918673,0.51823294294925,0.426065368227882,0.416632373888982",-1180.96379159648,"0.0466695297849927,0.326722554317739,0.488974673800698,0.536634998725703,0.427812632177981,0.387530018338719",-1181.25392044747,"0.0101211690709561,0.999999988574971,0.479270168420864,0.524607567538257,0.425557967918497,0.413718284351213",-1182.03344821728,"4.87452861319166e-16,0.00327575909146904,0.489726025695794,0.452830175343494,0.544226043573056,0.547808765224388",-1182.03344821728,"0.192418904094181,0.00285542690158264,0.489726025695794,0.452830175343494,0.544226043573056,0.547808765224388",-1181.76661120196,"0.999999981213379,0.0769110162765547,0.470791723106936,0.406396315669095,0.542337445222154,0.547767339739527",-1182.02986119626,"0.0225278601924887,0.00381937447127403,0.472661779779366,0.437972221550353,0.544226481874423,0.547808621982784",-1181.26646178568,"0.00997933213986792,1,0.472202245878603,0.518326899937214,0.42598098924484,0.41425400919807",-1181.26646178568,"0.00997933213986792,1,0.472202245878603,0.518326899937214,0.42598098924484,0.41425400919807",-1181.26646178568,"0.00997933213986792,1,0.472202245878603,0.518326899937214,0.42598098924484,0.41425400919807",-1181.1749390579,"0.0209899109061518,0.377941248610025,0.477043186760823,0.50965412136744,0.421177799675573,0.41732033325849"
"rs12203592",-611.641314031779,"0.00664845607341453,1,0.797356255889106,0.688425353534379,0.862564656476985,0.891345096578487",-611.641314031779,"0.00664845607341453,1,0.797356255889106,0.688425353534379,0.862564656476985,0.891345096578487",-607.688814719196,"0.537655841765799,0.101092215549624,0.691269397662753,0.59612523031096,0.867348868240076,0.897888860057241",-611.641314031779,"0.00664845607341453,1,0.797356255889106,0.688425353534379,0.862564656476985,0.891345096578487",-609.339226632093,"0.999999999507335,0.129639588571489,0.602081818878759,0.70062550950587,0.870701259632766,0.894060921222391",-611.794441971935,"3.77001106309407e-16,1,0.18702290557394,0.293103441470139,0.12780899010386,0.0995475072069011",-610.076502514006,"0.194396599090594,0.032679459477651,0.185441069319689,0.252955252481199,0.0987935473834772,0.0990790673031958",-611.794441971935,"3.77001106309407e-16,1,0.18702290557394,0.293103441470139,0.12780899010386,0.0995475072069011",-611.794441971935,"3.77001106309407e-16,1,0.18702290557394,0.293103441470139,0.12780899010386,0.0995475072069011",-611.794441971935,"3.77001106309407e-16,1,0.18702290557394,0.293103441470139,0.12780899010386,0.0995475072069011",-611.551614922044,"0.311690405379894,0.000663985590217771,0.749501978582495,0.705847682603469,0.871315213191977,0.86468721660979",-610.571243006566,"0.999999994478161,0.117126001192753,0.745892686312661,0.619315141246563,0.852863959853477,0.880481546957873",-608.223134197292,"0.999999999754212,0.110469604839341,0.738984361090453,0.516305056725576,0.861834207330759,0.899831946207295",-610.466970389964,"0.371495872187427,0.00257864952975774,0.519049740803211,0.410112381412195,0.872190754804968,0.900452325463263",-611.794441971935,"3.77001106309407e-16,0.0012896791238833,0.18702290557394,0.293103441470139,0.12780899010386,0.0995475072069011",-611.794441971935,"0.0783847315861812,0.00398513714897585,0.18702290557394,0.293103441470139,0.12780899010386,0.0995475072069011",-611.794441971935,"0.156826010850263,0.00827223022991688,0.18702290557394,0.293103441470139,0.12780899010386,0.0995475072069011",-611.764252017008,"0.0185560653243209,0.146934001695081,0.176673267819475,0.2782282708352,0.123742516070912,0.0978960206913135"
"rs1042602",-884.497338481335,"4.22577617379961e-17,1,0.830985913836256,0.877192985685945,0.813084114789969,0.767148012977851",-884.497338481335,"4.22577617379961e-17,0.0143242965036116,0.830985913836256,0.877192985685945,0.813084114789969,0.767148012977851",-884.497338481335,"4.22577617379961e-17,0.172408449699314,0.830985913836256,0.877192985685945,0.813084114789969,0.767148012977851",-884.497338481335,"0.518307639033774,0.000770100351806139,0.830985913836256,0.877192985685945,0.813084114789969,0.767148012977851",-884.497338481335,"0.0714998135823732,0.00613051254361614,0.830985913836256,0.877192985685945,0.813084114789969,0.767148012977851",-873.180567160721,"0.047449078989643,1,0.088317552146673,0.0728725884770113,0.110345013425155,0.124121976939571",-872.644091716313,"0.0667300879984084,0.711449839986479,0.0977530850898214,0.0657883646871444,0.101569297993255,0.154034727415746",-869.877050428258,"0.454988444941415,0.216292939874656,0.0642027680060689,0.0454005397736908,0.114608589089668,0.147617086673688",-873.180567160721,"0.047449078989643,1,0.088317552146673,0.0728725884770113,0.110345013425155,0.124121976939571",-872.909428504069,"0.100326174942657,0.574022893883715,0.079954117590378,0.0842316468686915,0.119092902116217,0.117992549969055",-884.497338481335,"4.22577617379961e-17,1,0.830985913836256,0.877192985685945,0.813084114789969,0.767148012977851",-884.488216861277,"0.99999994671637,0.0426498667972255,0.830884014899321,0.876999729870875,0.81305155769488,0.767019656222983",-884.497338481335,"4.22577617379961e-17,0.0184424332895073,0.830985913836256,0.877192985685945,0.813084114789969,0.767148012977851",-884.497338481335,"4.22577617379961e-17,0.00866584726696611,0.830985913836256,0.877192985685945,0.813084114789969,0.767148012977851",-873.01591564597,"0.0497272152544793,0.999999989994654,0.0854858440989134,0.074024687833232,0.110642107997921,0.12015150390664",-873.180567160721,"0.047449078989643,1,0.088317552146673,0.0728725884770113,0.110345013425155,0.124121976939571",-870.485157233078,"0.411544825705673,0.227987520785116,0.0435037803450184,0.0222443398051643,0.104880037689885,0.190673828831877",-873.180567160721,"0.047449078989643,0.999999994250191,0.088317552146673,0.0728725884770113,0.110345013425155,0.124121976939571"
"rs1393350",-710.463058343374,"2.35085212479385e-18,1,0.84246575621535,0.873015873602479,0.866504856650034,0.855468750420693",-710.463058343374,"2.35085212479385e-18,1,0.84246575621535,0.873015873602479,0.866504856650034,0.855468750420693",-710.463058343374,"5.87713031198463e-19,0.0115946602867807,0.84246575621535,0.873015873602479,0.866504856650034,0.855468750420693",-710.44843430277,"0.999999865713028,0.075256859274872,0.842459133631749,0.873016637265416,0.866406898790148,0.850714459528524",-710.463058343374,"2.35085212479385e-18,0.0102710494044164,0.84246575621535,0.873015873602479,0.866504856650034,0.855468750420693",-705.957477636026,"0.0341860700081249,1,0.0995257151220331,0.0866762933933954,0.0900925495425274,0.089215614049923",-703.584074522972,"0.106169358590127,0.364736949010307,0.116349242419475,0.0688009433900529,0.0749778133998429,0.129845978680897",-701.740023949917,"0.616545226946208,0.165668098601229,0.0513236116451364,0.0439460968481412,0.0980965140565501,0.110167598122996",-705.957477636026,"0.0341860700081249,1,0.0995257151220331,0.0866762933933954,0.0900925495425274,0.089215614049923",-705.957477636026,"0.0341860700081249,1,0.0995257151220331,0.0866762933933954,0.0900925495425274,0.089215614049923",-710.463058343374,"2.35085212479385e-18,0.393287678785522,0.84246575621535,0.873015873602479,0.866504856650034,0.855468750420693",-710.463058343374,"0.0491128455901379,0.000336755856311719,0.84246575621535,0.873015873602479,0.866504856650034,0.855468750420693",-710.463058343374,"2.35085212479385e-18,0.0134068001215184,0.84246575621535,0.873015873602479,0.866504856650034,0.855468750420693",-710.463058343374,"5.89161873887212e-19,0.0730911430966111,0.84246575621535,0.873015873602479,0.866504856650034,0.855468750420693",-705.957477636026,"0.0341860700081249,1,0.0995257151220331,0.0866762933933954,0.0900925495425274,0.089215614049923",-705.957477636026,"0.0341860700081249,1,0.0995257151220331,0.0866762933933954,0.0900925495425274,0.089215614049923",-700.93381083463,"0.855626967343672,0.1581907482182,0.0481816224728205,0.0177665205882221,0.0918323199684394,0.134619039046603",-702.518051542585,"0.978608186960792,0.063577329094869,1.57924128008937e-06,1.68265361667117e-06,0.0978689866797107,0.1409870240697"
"rs12913832",-1138.61430427835,"0.0234657274628489,1,0.366456108225319,0.550599542338065,0.388234642125164,0.204889331921857",-1137.12398572936,"0.129187092116289,0.156183784753806,0.43375488081211,0.541238763727865,0.383583424703178,0.269122167046912",-1138.61430427835,"0.0234657274628489,1,0.366456108225319,0.550599542338065,0.388234642125164,0.204889331921857",-1138.61430427835,"0.0234657274628489,1,0.366456108225319,0.550599542338065,0.388234642125164,0.204889331921857",-1138.31095377266,"0.0244687866227259,0.999999987469504,0.380267409406431,0.56376632000256,0.38520597684514,0.202300630982854",-1142.7175433894,"4.99497147810139e-17,1,0.548507457465032,0.381818182999925,0.540094333805735,0.729571989137239",-1142.7175433894,"4.99497147810139e-17,0.0333727948188317,0.548507457465032,0.381818182999925,0.540094333805735,0.729571989137239",-1142.37640721128,"0.186146102085897,0.0794594812761449,0.504200954221205,0.356070821131262,0.539026505435717,0.729058529552566",-1142.68157344334,"0.999999914656761,0.0770625761345082,0.548491420153987,0.38181525085087,0.539823310355034,0.720821477631192",-1142.69986513106,"0.99999999399008,0.0467704914072651,0.541131721386404,0.381816431923773,0.54009419737322,0.729569245451757",-1138.61430427835,"0.0234657274628489,1,0.366456108225319,0.550599542338065,0.388234642125164,0.204889331921857",-1138.34800026152,"0.0426253665068646,0.555962101450672,0.359181665790652,0.547362919468447,0.38488989164271,0.199310127038468",-1138.41304292062,"0.0384565815313257,0.574698446910701,0.351472050597087,0.531889043147677,0.385358564762473,0.216613403822015",-1138.61430427835,"0.0234657274628489,0.999999999229274,0.366456108225319,0.550599542338065,0.388234642125164,0.204889331921857",-1142.7175433894,"4.99497147810139e-17,0.0542199018176525,0.548507457465032,0.381818182999925,0.540094333805735,0.729571989137239",-1142.7175433894,"4.99497147810139e-17,0.00427593585121241,0.548507457465032,0.381818182999925,0.540094333805735,0.729571989137239",-1142.40335439087,"0.999999997190805,0.0724111553668119,0.535650077395067,0.34758505183632,0.538913083609121,0.729556992050984",-1137.83085518412,"0.697841970835774,0.0025342188455098,0.0324279393820808,0.0221908609013164,0.54009468727215,0.729572323243493"
"rs1800407",-534.589213722687,"1.93953014859285e-17,1,0.887417215967402,0.931034480268604,0.901376147398276,0.934959349852975",-534.589213722687,"1.93953014859285e-17,0.214114172958533,0.887417215967402,0.931034480268604,0.901376147398276,0.934959349852975",-534.589213722687,"1.93953014859285e-17,0.0259925668977804,0.887417215967402,0.931034480268604,0.901376147398276,0.934959349852975",-534.435246734302,"0.999999980795597,0.0992014992503695,0.887287507229167,0.93102451658073,0.900460537940245,0.923121788536316",-534.589213722687,"1.93953014859285e-17,1,0.887417215967402,0.931034480268604,0.901376147398276,0.934959349852975",-532.320280260085,"0.0298844757128562,1,0.0743112833452373,0.0488328191954523,0.0693446191907112,0.0414497563483924",-530.877523844155,"0.101735086547509,0.314362618192788,0.0895376297564997,0.0411009798109331,0.060778079889359,0.0610777601826324",-531.063474901386,"0.796982847907788,0.00144479689320219,0.0318217810147946,0.068965627974164,0.0986234982006653,0.0650408595949981",-532.320280260085,"0.0298844757128562,0.999999992706927,0.0743112833452373,0.0488328191954523,0.0693446191907112,0.0414497563483924",-529.468923598875,"0.999999999722641,0.168660933912151,0.0156907895398524,0.062686295030621,0.0927804969737196,0.0503064070729484",-534.589213722687,"1.93953014859285e-17,0.075828857501992,0.887417215967402,0.931034480268604,0.901376147398276,0.934959349852975",-534.479621089905,"0.999999995092342,0.0827576983794943,0.878769088998062,0.924741157196328,0.898802377797856,0.932627176390661",-534.58749190125,"0.999999780560417,0.0443375830945713,0.887308164445641,0.930585128724854,0.901374138770483,0.934959575252369",-533.65212553427,"0.428098521424505,0.00137047138793558,0.59586456519272,0.767753505919893,0.901375912065291,0.934959182782852",-532.320280260085,"0.0298844757128562,1,0.0743112833452373,0.0488328191954523,0.0693446191907112,0.0414497563483924",-532.320280260085,"0.0298844757128562,1,0.0743112833452373,0.0488328191954523,0.0693446191907112,0.0414497563483924",-531.232758579137,"0.171228545339296,0.274712195591307,0.0522089909123088,0.0287195767815184,0.0659107133107067,0.0531195397225204",-532.320280260085,"0.0298844757128562,0.999999990257064,0.0743112833452373,0.0488328191954523,0.0693446191907112,0.0414497563483924"
