"locus","null.major.loglik","null.major.pars","stress.major.loglik","stress.major.pars","trauma.major.loglik","trauma.major.pars","null.minor.loglik","null.minor.pars","stress.minor.loglik","stress.minor.pars","trauma.minor.loglik","trauma.minor.pars","stress.inv.major.loglik","stress.inv.major.pars","trauma.inv.major.loglik","trauma.inv.major.pars","stress.inv.minor.loglik","stress.inv.minor.pars","trauma.inv.minor.loglik","trauma.inv.minor.pars"
"rs1805008",-303.288153369216,"5.16210892652474e-16,1,0.955128206294237,0.960317460007673,0.959459459286238,0.977031801794597",-303.288153369216,"5.16210892652474e-16,1,0.955128206294237,0.960317460007673,0.959459459286238,0.977031801794597",-303.288153369216,"5.16210892652474e-16,1,0.955128206294237,0.960317460007673,0.959459459286238,0.977031801794597",-302.199211924187,"0.0295710317916642,1,0.0289873255164995,0.0266726462981072,0.0279585046904733,0.0144626639853034",-301.127218001699,"0.999999999775744,0.302923394735159,0.00995492633498801,0.00933979774707961,0.0141172876156777,0.013203475608772",-300.865596418342,"0.999999999854319,0.34261248111243,0.0346836153400569,0.0313294816863227,5.18702145047097e-12,0.018922856996574",-303.288153369216,"5.16210892652474e-16,0.0233510047689842,0.955128206294237,0.960317460007673,0.959459459286238,0.977031801794597",-303.287527886868,"0.99999504956516,0.00129110696765623,0.955127964661253,0.960317186748137,0.959459016126277,0.976976253895627",-299.955989830985,"0.999999998307375,0.00129710061215867,0.0448717234990765,0.0396832055315125,0.0364666943259009,0.0227353700871917",-302.131593521093,"0.0677303578452717,0.112125417960948,0.0302980747827537,0.0281451620673557,0.0294130751622096,0.0138221772728125"
"rs28777",-859.968878961481,"0.0404951279769458,1,0.408316573393169,0.423633024917202,0.511319965817677,0.406977112189339",-859.968878961481,"0.0404951279769458,1,0.408316573393169,0.423633024917202,0.511319965817677,0.406977112189339",-858.863641034301,"0.292537879182924,0.531659217805424,0.397263592612068,0.409193541170694,0.431268602772383,0.419348181642259",-869.359499781842,"3.94448395472071e-17,1,0.440476196539927,0.459999999541753,0.362676060391394,0.44354839393841",-869.359499781842,"0.105426772983236,0.00681069663913018,0.440476196539927,0.459999999541753,0.362676060391394,0.44354839393841",-869.359499781842,"3.94448395472071e-17,0.0527796816753877,0.440476196539927,0.459999999541753,0.362676060391394,0.44354839393841",-859.968878961481,"0.0404951279769458,1,0.408316573393169,0.423633024917202,0.511319965817677,0.406977112189339",-859.968878961481,"0.0404951279769458,1,0.408316573393169,0.423633024917202,0.511319965817677,0.406977112189339",-869.359499781842,"3.94448395472071e-17,0.00861326405317162,0.440476196539927,0.459999999541753,0.362676060391394,0.44354839393841",-869.359499781842,"6.16325617925111e-19,0.00206607437268191,0.440476196539927,0.459999999541753,0.362676060391394,0.44354839393841"
"rs16891982",-1297.1575738569,"0.0609916450359573,1,0.268418346056198,0.270912627770435,0.347683293571709,0.205769326622515",-1297.1575738569,"0.0609916450359573,0.999999991193139,0.268418346056198,0.270912627770435,0.347683293571709,0.205769326622515",-1297.1575738569,"0.0609916450359573,1,0.268418346056198,0.270912627770435,0.347683293571709,0.205769326622515",-1330.33514271908,"8.5247089043332e-17,1,0.509554143873821,0.570175430293114,0.46750524583292,0.593525176828712",-1330.33514271908,"0.165854535031052,0.00155397995923978,0.509554143873821,0.570175430293114,0.46750524583292,0.593525176828712",-1330.33514271908,"8.5247089043332e-17,0.146108006109356,0.509554143873821,0.570175430293114,0.46750524583292,0.593525176828712",-1296.55775660767,"0.0875962221539021,0.388131915018797,0.310889513513634,0.307564941622371,0.377030317467903,0.205901251293913",-1297.09175743952,"0.0615897181102011,0.999999973634559,0.266504701809246,0.269470307333274,0.35956998893878,0.204136702376345",-1330.33514271908,"8.5247089043332e-17,5.16195946500998e-05,0.509554143873821,0.570175430293114,0.46750524583292,0.593525176828712",-1330.33514271908,"0.00254202895594513,0.000163807226617623,0.509554143873821,0.570175430293114,0.46750524583292,0.593525176828712"
"rs12821256",-189.603518429011,"3.71393349721843e-16,1,0.950450451840558,0.933333333630738,0.969648561983178,0.978609625728292",-189.603518429011,"3.71393349721843e-16,0.89464497027822,0.950450451840558,0.933333333630738,0.969648561983178,0.978609625728292",-189.312485634215,"0.502691913379884,0.0289772301802921,0.950450474901853,0.933333005669533,0.943643573314404,0.978609286176745",-189.160435862998,"0.0241646470692479,1,0.0353201546637684,0.0500734753039581,0.0222909512038235,0.0147381737898987",-189.089312739917,"0.0604674686977665,0.653099794974485,0.0311110692293854,0.0445360470578507,0.0204760409681724,0.0143867205417943",-189.136276797359,"0.0625169920341982,0.7111696929699,0.0345425084799484,0.0487978619965833,0.021152040542145,0.0149263382482179",-188.837906250435,"0.999999994068087,0.00245753972304169,0.95045016253226,0.933334083744736,0.96807352631757,0.978341296302631",-189.603518429011,"3.71393349721843e-16,0.644019233398036,0.950450451840558,0.933333333630738,0.969648561983178,0.978609625728292",-189.160435862998,"0.0241646470692479,1,0.0353201546637684,0.0500734753039581,0.0222909512038235,0.0147381737898987",-189.135831655792,"0.0249791215838216,0.999999951037858,0.0349068103494589,0.0495604225304368,0.0225761285839057,0.0145461405140747"
"rs4959270",-1182.3053132527,"8.49800933212271e-17,1,0.50342465546342,0.481132073237687,0.545454548263338,0.547808765943204",-1181.93000737954,"0.999999994135108,0.179341952512107,0.445101885374849,0.436089445255682,0.506401577371528,0.538710974135684",-1182.3053132527,"8.49800933212271e-17,0.00533782475171313,0.50342465546342,0.481132073237687,0.545454548263338,0.547808765943204",-1181.7034369988,"0.00884192957433177,1,0.46289897964597,0.49318382609663,0.428159136164281,0.418559670879",-1181.7034369988,"0.00884192957433177,1,0.46289897964597,0.49318382609663,0.428159136164281,0.418559670879",-1181.7034369988,"0.00884192957433177,1,0.46289897964597,0.49318382609663,0.428159136164281,0.418559670879",-1182.3053132527,"8.49800933212271e-17,0.0016392189662837,0.50342465546342,0.481132073237687,0.545454548263338,0.547808765943204",-1182.30502198087,"0.999998146496823,0.00104059097654875,0.503423974637204,0.481132130583142,0.54545384065678,0.547643884838118",-1181.59856930162,"0.0171326462649441,0.268163895071915,0.472246098748684,0.501561213790533,0.433555418150013,0.416815094522058",-1181.57324288157,"0.0275327728927371,0.0795740060430629,0.468794704569525,0.499527602016576,0.432704727608293,0.415895366084769"
"rs12203592",-602.894244848804,"2.63312967909245e-16,1,0.824427477899067,0.67241378561865,0.879213484834691,0.898190043004357",-601.825705413077,"0.999999999473984,0.215366577103707,0.743275367945881,0.575019229492663,0.840495481159772,0.888172866982318",-602.894244848804,"3.29141209886557e-17,0.0873866048179215,0.824427477899067,0.67241378561865,0.879213484834691,0.898190043004357",-602.807773822577,"0.00505470138287372,1,0.164844685668652,0.312974734982911,0.114095403160369,0.0951401635047207",-602.807773822577,"0.00505470138287372,1,0.164844685668652,0.312974734982911,0.114095403160369,0.0951401635047207",-601.936260293871,"0.565699914431713,0.0883065541688997,0.175572435889047,0.32758803737076,0.0583699908015433,0.101809937974058",-602.894244848804,"2.63312967909245e-16,6.83373170332578e-05,0.824427477899067,0.67241378561865,0.879213484834691,0.898190043004357",-602.300172092665,"0.999999999909022,0.00407078520654185,0.82442633244863,0.672143888584948,0.878390628936328,0.885839645410548",-602.695220319814,"0.0179018487219991,0.199169845437053,0.16604579607521,0.315418915404925,0.113681464758717,0.0921064617727182",-602.807773822577,"0.00505470138287372,1,0.164844685668652,0.312974734982911,0.114095403160369,0.0951401635047207"
"rs1042602",-894.576129970134,"3.41782192107131e-17,1,0.823943660985415,0.850877185168621,0.81658878461596,0.758122743181677",-894.576129970134,"0.144819417728096,0.00216457277388647,0.823943660985415,0.850877185168621,0.81658878461596,0.758122743181677",-894.576129970134,"3.41782192107131e-17,1,0.823943660985415,0.850877185168621,0.81658878461596,0.758122743181677",-878.57193997179,"0.0562082790305865,1,0.0810503878345574,0.0806504867637178,0.0966705705384642,0.113737088073761",-878.457693622312,"0.097825014871353,0.756055279873516,0.0690153702165985,0.0691635149005282,0.0872338218034456,0.11126503975799",-878.57193997179,"0.0562082790305865,1,0.0810503878345574,0.0806504867637178,0.0966705705384642,0.113737088073761",-894.576129970134,"3.41782192107131e-17,0.000411886808989539,0.823943660985415,0.850877185168621,0.81658878461596,0.758122743181677",-894.576129970134,"3.41782192107131e-17,8.56247334699173e-05,0.823943660985415,0.850877185168621,0.81658878461596,0.758122743181677",-878.57193997179,"0.0562082790305865,0.999999992614297,0.0810503878345574,0.0806504867637178,0.0966705705384642,0.113737088073761",-878.553717994862,"0.0741144512693225,0.271378848933117,0.0846280185707073,0.0843410601509917,0.104751434046886,0.1125549490722"
"rs1393350",-690.563899271762,"1.91438350479143e-17,1,0.852739728037627,0.873015872918767,0.870145632035431,0.865234375600563",-690.563899271762,"0.477303867294685,0.00817289775910225,0.852739728037627,0.873015872918767,0.870145632035431,0.865234375600563",-690.563899271762,"1.91438350479143e-17,0.0340798622139687,0.852739728037627,0.873015872918767,0.870145632035431,0.865234375600563",-685.38850570726,"0.0373131076064466,1,0.088512721368774,0.0834049410573952,0.0841185499059067,0.0788912829844695",-682.913860821505,"0.999999999331835,0.321701513166958,0.0263368959994715,0.0253212148500592,0.0386993992118426,0.0699718913964072",-684.909090783163,"0.157411673517786,0.619938851941729,0.0830725189356929,0.0779666884102413,0.0715720041078961,0.0801193240803519",-690.563899271762,"1.91438350479143e-17,0.598872115519629,0.852739728037627,0.873015872918767,0.870145632035431,0.865234375600563",-690.547919544094,"0.99999998071988,0.0016057966419846,0.852739674916497,0.873016271185364,0.870140874104429,0.864343261792906",-685.38850570726,"0.0373131076064466,0.999999991496528,0.088512721368774,0.0834049410573952,0.0841185499059067,0.0788912829844695",-685.359006324037,"0.0376630354039309,0.99999997910731,0.0880632591324323,0.0830431931639562,0.0866084760151739,0.0784628847149312"
"rs12913832",-1157.33842604694,"0.0236811414743243,1,0.390432598391344,0.540384948392286,0.396675962672225,0.233664245315227",-1157.33842604694,"0.0236811414743243,1,0.390432598391344,0.540384948392286,0.396675962672225,0.233664245315227",-1157.24084390076,"0.0726379844716717,0.673665121604961,0.384650036450475,0.534208599132896,0.381629232825194,0.236432336977016",-1161.61548930635,"1.9752627991817e-17,1,0.522388061457629,0.390909093206504,0.530660378823118,0.694552527992469",-1161.09103266134,"0.999999991212733,0.179474083599942,0.463789223574976,0.347740480786298,0.491223903775293,0.686729854304027",-1161.61548930635,"4.93815699795426e-18,0.0246635172606025,0.522388061457629,0.390909093206504,0.530660378823118,0.694552527992469",-1155.74953748857,"0.148487315686554,0.0944767128752171,0.446196062864515,0.588076879960919,0.431781892042662,0.232541302009309",-1157.28765755237,"0.0239976700031618,0.99999996507613,0.389287562588537,0.539451282447607,0.401250740307495,0.23276738530179",-1161.61548930635,"9.50969097404738e-07,5.07961187584828e-05,0.522388061457629,0.390909093206504,0.530660378823118,0.694552527992469",-1161.61548930635,"1.9752627991817e-17,1,0.522388061457629,0.390909093206504,0.530660378823118,0.694552527992469"
"rs1800407",-528.602652189216,"2.08331506660519e-17,1,0.894039733929816,0.948275861856407,0.904816513565817,0.926829266382124",-528.602652189216,"0.2055524846179,0.0153759732506007,0.894039733929816,0.948275861856407,0.904816513565817,0.926829266382124",-528.602652189216,"6.51035958314121e-19,0.109469151337381,0.894039733929816,0.948275861856407,0.904816513565817,0.926829266382124",-526.595555543954,"0.0283081089522617,1,0.0713812741536023,0.0371323396587844,0.0681850710676928,0.0479696047959476",-526.014640132152,"0.170876464421567,0.485023989850352,0.0499908108135004,0.026191636316696,0.0538997938675384,0.0448570718500304",-525.31898958495,"0.553374110476941,0.422533876548155,0.0694036230398562,0.0356240711333116,0.0324833682244519,0.0516643611810858",-527.947847151033,"0.395263253152728,0.00620416589241652,0.89403955358112,0.948275351603865,0.902801733297098,0.926421953162549",-528.598787553122,"0.999999379649491,0.00161131171817927,0.894039626141514,0.948275457485947,0.904814688613389,0.926291449327751",-526.595555543954,"0.0283081089522617,1,0.0713812741536023,0.0371323396587844,0.0681850710676928,0.0479696047959476",-526.595555543954,"0.0283081089522617,1,0.0713812741536023,0.0371323396587844,0.0681850710676928,0.0479696047959476"
