"locus","null.major.loglik","null.major.pars","stress.major.loglik","stress.major.pars","trauma.major.loglik","trauma.major.pars","null.minor.loglik","null.minor.pars","stress.minor.loglik","stress.minor.pars","trauma.minor.loglik","trauma.minor.pars","stress.inv.major.loglik","stress.inv.major.pars","trauma.inv.major.loglik","trauma.inv.major.pars","stress.inv.minor.loglik","stress.inv.minor.pars","trauma.inv.minor.loglik","trauma.inv.minor.pars"
"rs1805008",-239.422402181815,"6.52863744875864e-17,1,0.964743590420405,0.976190476079844,0.972972973125915,0.97879858689453",-239.422402181815,"0.049111334276967,0.0158973733072269,0.964743590420405,0.976190476079844,0.972972973125915,0.97879858689453",-239.422402181815,"6.52863744875864e-17,0.179119829313961,0.964743590420405,0.976190476079844,0.972972973125915,0.97879858689453",-237.768641010868,"0.0431194882387625,1,0.0183519567339499,0.0129418951069047,0.0153546270969634,0.0106220291131348",-237.452852485418,"0.999999997800376,0.324653298792636,0.0053993242140932,0.00372994891196206,0.00707506039047062,0.0100214587344261",-237.766200539015,"0.0493048862096647,0.947313279315028,0.0182026607114125,0.0128244758540904,0.015192169309436,0.0106631008645022",-239.422402181815,"1.02009960136854e-18,0.0377679814229517,0.964743590420405,0.976190476079844,0.972972973125915,0.97879858689453",-239.421313523774,"0.17185891399824,0.00301531979247963,0.964743365061478,0.976187093598301,0.972966444706911,0.978555554523849",-234.122611261749,"0.999999999522666,0.00173330491908884,0.0352567137621309,0.0238097680037419,0.0224501598040283,0.0208534794132691",-237.710318147888,"0.0669884461628212,0.199203538608579,0.0189334102116457,0.0134394057126382,0.0163265003615684,0.0102093756016182"
"rs28777",-863.466471867509,"0.0268330335987955,1,0.487813021929061,0.442966472318228,0.558733708018617,0.441185717132583",-863.106945900894,"0.117922754615252,0.520510044911938,0.429993021233773,0.392607768147047,0.522590393839841,0.436400557801616",-862.5356115753,"0.205664468306471,0.530780480324263,0.474487531236764,0.428719480419257,0.500901256090915,0.44473003964493",-867.550995111485,"3.01749692715902e-17,1,0.412698409220629,0.480000004421891,0.359154929316555,0.459677423007353",-867.550995111485,"0.250163701982644,0.0052546805067292,0.412698409220629,0.480000004421891,0.359154929316555,0.459677423007353",-867.550995111485,"3.01749692715902e-17,0.116822255261875,0.412698409220629,0.480000004421891,0.359154929316555,0.459677423007353",-863.466471867509,"0.0268330335987955,0.999999994313803,0.487813021929061,0.442966472318228,0.558733708018617,0.441185717132583",-863.466471867509,"0.0268330354486696,1,0.487813021929061,0.442966472318228,0.558733708018617,0.441185717132583",-867.550995111485,"3.01749692715902e-17,8.42576604555799e-05,0.412698409220629,0.480000004421891,0.359154929316555,0.459677423007353",-867.53097848824,"0.999999950898443,0.00187150915686857,0.412697934827994,0.479999517075233,0.35912767138999,0.456207703631337"
"rs16891982",-1296.63620611463,"0.0608503811373224,1,0.279162710005937,0.256558659150839,0.354091408836829,0.20868217138499",-1296.63620611463,"0.0608503811373224,1,0.279162710005937,0.256558659150839,0.354091408836829,0.20868217138499",-1296.63620611463,"0.0608503811373224,0.999999998611475,0.279162710005937,0.256558659150839,0.354091408836829,0.20868217138499",-1329.63453449142,"8.79775724507821e-18,1,0.496815271355838,0.58771931067068,0.461215933787614,0.58992805979858",-1329.63453449142,"0.511065231852116,0.00778484428382061,0.496815271355838,0.58771931067068,0.461215933787614,0.58992805979858",-1329.63453449142,"1.09971965563478e-18,0.0197613092523804,0.496815271355838,0.58771931067068,0.461215933787614,0.58992805979858",-1296.35649301048,"0.0777246589154568,0.486223525303358,0.310483946481869,0.282228061137532,0.375608995799533,0.209065951460599",-1296.63620611463,"0.0608503811373224,1,0.279162710005937,0.256558659150839,0.354091408836829,0.20868217138499",-1329.63453449142,"8.79775724507821e-18,4.37338140125032e-05,0.496815282643293,0.58771931067068,0.461215933787614,0.58992805979858",-1329.63453449142,"0.000427786180135476,0.000167027936605605,0.496815271355838,0.58771931067068,0.461215933787614,0.58992805979858"
"rs12821256",-180.857886370745,"8.81624159925551e-16,1,0.96396396335274,0.95555555451788,0.964856230264387,0.981283422922697",-180.857886370745,"8.81624159925551e-16,1,0.96396396335274,0.95555555451788,0.964856230264387,0.981283422922697",-180.857886370745,"8.81624159925551e-16,1,0.96396396335274,0.95555555451788,0.964856230264387,0.981283422922697",-180.59234421541,"0.0190329143489803,1,0.0275568614764194,0.0354037710960074,0.0276660907060193,0.0139857159965305",-180.396860486453,"0.285076734260178,0.376606064964372,0.0175259431274129,0.0232672347992848,0.0206049732126241,0.0130118174424175",-179.422161111142,"0.999999999585034,0.33900147544668,0.0286255545991337,0.0361577445610382,1.2875596938481e-11,0.0156449164214469",-180.11458004562,"0.667818078182264,0.0200989970385392,0.963942305310249,0.955544625477687,0.963061126025408,0.980581659741156",-180.857886370745,"8.81624159925551e-16,1,0.96396396335274,0.95555555451788,0.964856230264387,0.981283422922697",-180.59234421541,"0.0190329143489803,1,0.0275568614764194,0.0354037710960074,0.0276660907060193,0.0139857159965305",-180.59234421541,"0.0190329143489803,1,0.0275568614764194,0.0354037710960074,0.0276660907060193,0.0139857159965305"
"rs4959270",-1180.41928589107,"2.84548292778113e-16,1,0.489726042000836,0.452830188599266,0.54791154830584,0.557768928310233",-1179.75246743535,"0.999999995132247,0.191548464841338,0.413770522204383,0.394165904001966,0.496767692118993,0.544238602464081",-1180.41928589107,"2.84548292778113e-16,0.206006537429451,0.489726042000836,0.452830188599266,0.54791154830584,0.557768928310233",-1179.64409350398,"0.00869623148809647,1,0.477109445292308,0.522056069745849,0.424951729618872,0.409328824710637",-1179.64409350398,"0.00869623148809647,1,0.477109445292308,0.522056069745849,0.424951729618872,0.409328824710637",-1179.64409350398,"0.00869623148809647,0.999999993450304,0.477109445292308,0.522056069745849,0.424951729618872,0.409328824710637",-1180.41928589107,"2.18099699032539e-05,1.82336960584603e-05,0.489726042000836,0.452830188599266,0.54791154830584,0.557768928310233",-1180.41928589107,"0.000635040057381378,8.73964743184717e-05,0.489726042000836,0.452830188599266,0.54791154830584,0.557768928310233",-1179.43456904638,"0.0227450887361911,0.203256093481032,0.487809272157802,0.531835446878188,0.430823744033498,0.405467272202627",-1179.49698869976,"0.0333477349204124,0.0639924382508743,0.485815287852416,0.530818557314596,0.430607962293581,0.407720576420198"
"rs12203592",-608.207105838676,"5.11856830944832e-16,1,0.809160307830426,0.689655173172368,0.872191010899883,0.90723981728481",-606.596222947932,"0.999999999431607,0.227210021648263,0.701816175976126,0.57227918271416,0.821513715975474,0.894798808747583",-608.207105838676,"5.11856830944832e-16,1,0.809160307830426,0.689655173172368,0.872191010899883,0.90723981728481",-608.199286928427,"0.0015156767649505,1,0.187356879658509,0.306070663831276,0.125679782036879,0.0908911298451419",-608.199286928427,"0.0015156767649505,1,0.187356879658509,0.306070663831276,0.125679782036879,0.0908911298451419",-607.339207433078,"0.517563093440356,0.0606470170422942,0.190840280103953,0.310344854511834,0.0682154317405727,0.0927601137723307",-608.207105838676,"5.11856830944832e-16,0.974082406639437,0.809160307830426,0.689655173172368,0.872191010899883,0.90723981728481",-607.194428722679,"0.999999997910779,0.0048171285820158,0.809157619174049,0.689253816255528,0.870476693719192,0.891601130921314",-608.147691105232,"0.00931123990933798,0.210563410050587,0.185073372176907,0.303644825994574,0.123634839714754,0.0877962848651079",-608.199286928427,"0.0015156767649505,1,0.187356879658509,0.306070663831276,0.125679782036879,0.0908911298451419"
"rs1042602",-897.185514290694,"4.27423030671617e-17,1,0.802816898609028,0.903508775068619,0.808411213232429,0.76534296118716",-897.185514290694,"4.27423030671617e-17,1,0.802816898609028,0.903508775068619,0.808411213232429,0.76534296118716",-897.185514290694,"4.27423030671617e-17,0.0170587001973921,0.802816898609028,0.903508775068619,0.808411213232429,0.76534296118716",-885.32969037735,"0.0483583992366698,1,0.103448475906141,0.0557802976006421,0.112144035335663,0.123556807151907",-885.064996715393,"0.0985001391392769,0.707462362015804,0.0863810562233979,0.0465709328741015,0.0997741776515065,0.120121819572268",-885.32929697468,"0.049951951043867,0.987152143256113,0.10317263435533,0.0556258676172608,0.111812503970591,0.123576825158819",-897.185514290694,"1.49831848443181e-06,4.13654784826215e-05,0.802816898609028,0.903508775068619,0.808411213232429,0.76534296118716",-897.185514290694,"4.27423030671617e-17,1,0.802816898609028,0.903508775068619,0.808411213232429,0.76534296118716",-885.32969037735,"0.0483583992366698,1,0.103448475906141,0.0557802976006421,0.112144035335663,0.123556807151907",-885.310345935335,"0.0486902990384318,0.999999981209551,0.102949848505581,0.055545268929483,0.116536258270008,0.122947623407275"
"rs1393350",-679.455129728774,"5.95335626567045e-17,1,0.869863016143251,0.87301587642858,0.872572815270397,0.863281247547407",-679.455129728774,"0.312239815362398,0.0158725732600023,0.869863016143251,0.87301587642858,0.872572815270397,0.863281247547407",-679.455129728774,"5.95335626567045e-17,0.182791938806313,0.869863016143251,0.87301587642858,0.872572815270397,0.863281247547407",-675.700859995802,"0.0319311129428107,1,0.0839104020119295,0.0890812250551787,0.0882272993516994,0.087013865627336",-673.56437291508,"0.974777999213988,0.313675306509648,0.0274200799336742,0.0303537145473562,0.043253414407957,0.0773900483249237",-675.270466781988,"0.222170959033208,0.541071637542629,0.0794617741942391,0.0839366854360385,0.0699010329328507,0.0896102529492881",-679.448723716166,"0.999999100916982,0.000258219017771139,0.869863297699889,0.873015294800731,0.872300867565438,0.863276049234278",-679.443608819821,"0.999999984373434,0.00154153844996227,0.869862930846875,0.873015844146123,0.872568927680316,0.862536833563366",-675.700859995802,"0.0319311129428107,1,0.0839104020119295,0.0890812250551787,0.0882272993516994,0.087013865627336",-675.700859995802,"0.0319311129428107,1,0.0839104020119295,0.0890812250551787,0.0882272993516994,0.087013865627336"
"rs12913832",-1143.47936036708,"0.0317325953547799,1,0.324185507832127,0.506908158331739,0.362324839892304,0.197667633715701",-1143.47936036708,"0.0317325953547799,1,0.324185507832127,0.506908158331739,0.362324839892304,0.197667633715701",-1142.53692034817,"0.177572093834106,0.572195544515641,0.312507858277795,0.493634160278717,0.31901472949368,0.201446495606889",-1151.08009838567,"2.44317583371735e-17,1,0.563432831193946,0.400000017205473,0.541273589112163,0.712062256891577",-1150.65299079782,"0.999999995836073,0.173021838741226,0.513595124091089,0.362805115066073,0.507556537771221,0.706066328070843",-1151.08009838567,"2.44317583371735e-17,0.03488040509619,0.563432831193946,0.400000017205473,0.541273589112163,0.712062256891577",-1140.87293591022,"0.178711412870689,0.101819707015708,0.391802142932214,0.568998339137994,0.406081514919762,0.194734985207487",-1143.45421221653,"0.0320198884668619,0.999999987298187,0.323217184370607,0.506054336154379,0.368651651802309,0.196933190367507",-1151.08009838567,"2.44317583371735e-17,0.00088527179349814,0.563432831193946,0.400000017205473,0.541273589112163,0.712062256891577",-1151.07066571525,"0.999999878414999,0.00144590757789356,0.563432528145984,0.399995284711071,0.541269005194292,0.711131737859852"
"rs1800407",-544.584556092463,"4.90498345589671e-17,1,0.880794701107047,0.956896550099099,0.897935777731373,0.928861788884503",-544.486408120372,"0.999999996140688,0.163701622894919,0.863286657664219,0.951570373092356,0.887889202644921,0.927513046863924",-544.570457828701,"0.0731822347219833,0.0348543487368178,0.880794941519204,0.956896416077546,0.891238069533206,0.928861935994472",-542.687761276551,"0.0270398242911662,1,0.082191409102225,0.0313518650057921,0.0744548013221952,0.0475389999586468",-542.521885080606,"0.0519724556761591,0.729870649697951,0.0747082729062493,0.0285579036754773,0.0698447160340664,0.0465108788930891",-542.531093122031,"0.0923763093294846,0.65403056654147,0.0795858687013661,0.0302022247476669,0.0686049984452619,0.0483254370070629",-543.792505100347,"0.424687997153509,0.0060883255643168,0.880795451495278,0.956896504618878,0.89565756630029,0.928438418658025",-544.583953113465,"0.99999908737713,0.00120529563272424,0.880794018551405,0.956896724942145,0.897935382279613,0.928747099552728",-542.683869066434,"0.0288679438939735,0.779649070635891,0.0837384929024372,0.031932677986177,0.0753333051860836,0.0475745500187578",-542.640066799834,"0.027627832820985,0.999999982978028,0.0814994961134574,0.0311212354027254,0.0757558692159376,0.0471018189780619"
