"locus","null.major.loglik","null.major.pars","stress.major.loglik","stress.major.pars","trauma.major.loglik","trauma.major.pars","null.minor.loglik","null.minor.pars","stress.minor.loglik","stress.minor.pars","trauma.minor.loglik","trauma.minor.pars","stress.inv.major.loglik","stress.inv.major.pars","trauma.inv.major.loglik","trauma.inv.major.pars","stress.inv.minor.loglik","stress.inv.minor.pars","trauma.inv.minor.loglik","trauma.inv.minor.pars"
"rs1805008",-289.980332065432,"1.24015794077009e-16,1,0.945512820078392,0.976190477837571,0.967775466554323,0.971731448435868",-289.980332065432,"0.144066038376282,0.000838604906086544,0.945512820078392,0.976190477837571,0.967775466554323,0.971731448435868",-289.980332065432,"1.24015794077009e-16,0.237227690455584,0.945512820078392,0.976190477837571,0.967775466554323,0.971731448435868",-284.725855255152,"0.0467625690928847,1,0.0254127962936406,0.0122163062311948,0.017420018496056,0.0133565729284596",-284.025695790248,"0.999999999871505,0.337227211693633,0.00633983307165821,0.00290064878970465,0.00709163286322028,0.0117756455126903",-283.951450736181,"0.999999998696048,0.405178155478587,0.0263388488697793,0.0125402218828321,2.56864378710303e-11,0.0165801534373935",-289.980332065432,"1.24015794077009e-16,0.0100264068980868,0.945512820078392,0.976190477837571,0.967775466554323,0.971731448435868",-289.768102739013,"0.999999883368346,0.00394471465058058,0.945512716975035,0.97614221756493,0.967597653430913,0.968102527651117",-280.651876768735,"0.999999999294712,0.00177782584090055,0.0512820042947299,0.0238094542090633,0.0267157564465768,0.027792205397571",-284.725855255152,"0.0467625690928847,1,0.0254127962936406,0.0122163062311948,0.017420018496056,0.0133565729284596"
"rs28777",-861.888864598233,"0.0393310515340471,1,0.412634790296896,0.41700225384956,0.518926661394715,0.356773272494745",-861.611253168071,"0.112754191561097,0.605928654153635,0.359920104511855,0.369652730790628,0.484372091415668,0.353461817218574",-859.500426612162,"0.448237590703955,0.475330041347547,0.403900714746675,0.403673014100508,0.382428700766329,0.374128491220265",-870.732973501982,"4.4853935930619e-17,1,0.440476185505516,0.470000001521825,0.359154931193027,0.499999999753258",-870.732973501982,"0.456667873420484,0.0163791985895578,0.440476185505516,0.470000001521825,0.359154931193027,0.499999999753258",-870.732973501982,"4.4853935930619e-17,0.0964522271472917,0.440476185505516,0.470000001521825,0.359154931193027,0.499999999753258",-861.888864598233,"0.0393310515340471,1,0.412634790296896,0.41700225384956,0.518926661394715,0.356773272494745",-861.888864598233,"0.0393310515340471,1,0.412634790296896,0.41700225384956,0.518926661394715,0.356773272494745",-870.732973501982,"4.4853935930619e-17,0.0109349109141689,0.440476185505516,0.470000001521825,0.359154931193027,0.499999999753258",-870.732855022822,"0.999997833400419,0.000900460097795605,0.440476885856754,0.470000776009052,0.359155416665541,0.499945629161581"
"rs16891982",-1294.16600902038,"0.0637614164094948,1,0.257138561950915,0.279161458530984,0.339683657144413,0.197050098209545",-1294.16600902038,"0.0637614164094948,0.99999999649913,0.257138561950915,0.279161458530984,0.339683657144413,0.197050098209545",-1294.16588702595,"0.0646327964712155,0.994418472086629,0.256896220962362,0.27892754733753,0.339354935129533,0.197116589866023",-1330.40203437339,"2.55287226366838e-17,1,0.512738847260476,0.552631577470434,0.467505239270417,0.595323743324726",-1330.40203437339,"0.0555194923806087,0.00894882489514111,0.512738847260476,0.552631577470434,0.467505239270417,0.595323743324726",-1330.40203437339,"2.55287226366838e-17,0.0980767948668596,0.512738847260476,0.552631577470434,0.467505239270417,0.595323743324726",-1293.56707026628,"0.0914492275306928,0.388842647123053,0.300576349415081,0.318049674026953,0.370155866067513,0.197199646075341",-1294.16600902038,"0.0637614164094948,1,0.257138561950915,0.279161458530984,0.339683657144413,0.197050098209545",-1330.40203437339,"2.55287226366838e-17,4.8230010065937e-05,0.512738847260476,0.552631577470434,0.467505239270417,0.595323743324726",-1330.40203437339,"2.55287226366838e-17,1,0.512738847260476,0.552631577470434,0.467505239270417,0.595323743324726"
"rs12821256",-235.333506028736,"4.76606650115313e-17,1,0.941441442586915,0.955555556953355,0.950479233871658,0.973262032146624",-235.333506028736,"4.76606650115313e-17,1,0.941441442586915,0.955555556953355,0.950479233871658,0.973262032146624",-235.333506028736,"4.76606650115313e-17,0.0962958755243247,0.941441442586915,0.955555556953355,0.950479233871658,0.973262032146624",-234.640356397259,"0.0264346155822219,1,0.0405151301722156,0.0322008920060397,0.0354913106342072,0.0177943357768898",-234.607548461826,"0.240305574873254,0.410119546121905,0.0280782544082366,0.0226529606401079,0.0283323681020833,0.0177012856545349",-233.339951718032,"0.999999998445107,0.344398769049983,0.0456996727679206,0.0354080146364825,6.7636805149837e-11,0.0219561265536686",-235.333506028736,"4.76606650115313e-17,1,0.941441442586915,0.955555556953355,0.950479233871658,0.973262032146624",-235.323968933851,"0.999999634744465,0.00238875486785362,0.941441647799783,0.955548441675288,0.950454859531169,0.972329330835417",-234.640356397259,"0.0264346155822219,0.999999993035692,0.0405151301722156,0.0322008920060397,0.0354913106342072,0.0177943357768898",-234.640356397259,"0.0264346155822219,1,0.0405151301722156,0.0322008920060397,0.0354913106342072,0.0177943357768898"
"rs4959270",-1180.117864986,"1.91791742560778e-16,1,0.506849317160952,0.424528295825075,0.554054053493471,0.543824693712154",-1179.83364189918,"0.999999995770369,0.169586366778635,0.460929326290146,0.390245207513489,0.523366580433506,0.537444194787925",-1180.117864986,"1.91791742560778e-16,0.047195431067488,0.506849317160952,0.424528295825075,0.554054053493471,0.543824693712154",-1178.18420267629,"0.0158358603430671,1,0.432903070943216,0.530049114021967,0.398970029851192,0.396051200273119",-1178.18416040271,"0.0159706576590748,0.995159526990637,0.432747307424094,0.529914638704152,0.398877672494448,0.396029137590557",-1178.18420267629,"0.0158358603430671,1,0.432903070943216,0.530049114021967,0.398970029851192,0.396051200273119",-1180.04718046881,"0.999999870008428,0.000339223140694576,0.506849042998348,0.424531426639816,0.552722032017005,0.54377990053632",-1180.117864986,"1.91791742560778e-16,0.000187836864988833,0.506849317160952,0.424528295825075,0.554054053493471,0.543824693712154",-1177.96768424527,"0.0293103418152998,0.274794836962913,0.450295159021858,0.545401781989895,0.409235208429198,0.394593767307956",-1177.59828892592,"0.0709128747161711,0.054698794031158,0.453392909380869,0.549980173554606,0.411074701167213,0.395067416029221"
"rs12203592",-607.273076517584,"6.90313356765429e-16,1,0.824427490514787,0.689655170456525,0.874999997567257,0.8981900431935",-605.895250402917,"0.999999998816284,0.218339521793585,0.738422627669741,0.589155244413471,0.832831111137715,0.887368924409904",-607.273076517584,"6.90313356765429e-16,0.80605543245254,0.824427490514787,0.689655170456525,0.874999997567257,0.8981900431935",-606.863699197401,"0.0109481489879289,1,0.152901577774994,0.279886814036975,0.110343197354969,0.0877402805365933",-606.863699197401,"0.0109481489879289,1,0.152901577774994,0.279886814036975,0.110343197354969,0.0877402805365933",-605.479307422261,"0.665371327903467,0.301283037379576,0.164456687777797,0.295004766419568,0.0445981189128774,0.0970426315910178",-607.273076517584,"6.90313356765429e-16,0.157009083375298,0.824427490514787,0.689655170456525,0.874999997567257,0.8981900431935",-607.207416851249,"0.999999996563239,0.0024593200592228,0.82442744263677,0.689603021758054,0.874931511135638,0.894801247471132",-606.589993868728,"0.0312582451904456,0.210134655967072,0.157845043720549,0.288024289844115,0.111447759577805,0.0844099887187383",-606.863699197401,"0.0109481489879289,1,0.152901577774994,0.279886814036975,0.110343197354969,0.0877402805365933"
"rs1042602",-875.294346302834,"5.98316366252651e-18,1,0.809859158817562,0.903508766884353,0.817757009606537,0.776173285383967",-875.294346302834,"5.98316366252651e-18,0.00251784716419053,0.809859158817562,0.903508766884353,0.817757009606537,0.776173285383967",-875.294346302834,"5.98316366252651e-18,1,0.809859158817562,0.903508766884353,0.817757009606537,0.776173285383967",-862.078097337954,"0.052034893436916,1,0.0940828133432495,0.0532133716049127,0.101265170243331,0.110639445991202",-862.078097337954,"0.052034893436916,0.999999993175181,0.0940828133432495,0.0532133716049127,0.101265170243331,0.110639445991202",-862.078097337954,"0.052034893436916,1,0.0940828133432495,0.0532133716049127,0.101265170243331,0.110639445991202",-875.294346302834,"5.98316366252651e-18,0.000957819192631064,0.809859158817562,0.903508766884353,0.817757009606537,0.776173285383967",-875.294346302834,"5.98316366252651e-18,1,0.809859158817562,0.903508766884353,0.817757009606537,0.776173285383967",-862.078097337954,"0.052034893436916,1,0.0940828133432495,0.0532133716049127,0.101265170243331,0.110639445991202",-861.889520505923,"0.072647683116228,0.237638127223199,0.0981993461317047,0.0558281999238014,0.109190910054965,0.108928302966328"
"rs1393350",-694.168184954582,"8.02437505580378e-18,1,0.849315069693078,0.857142855480165,0.868932038114888,0.869140628514321",-694.168184954582,"8.02437505580378e-18,1,0.849315069693078,0.857142855480165,0.868932038114888,0.869140628514321",-694.168184954582,"8.02437505580378e-18,0.0814791654089645,0.849315069693078,0.857142855480165,0.868932038114888,0.869140628514321",-689.308754710499,"0.0360013850134395,1,0.0924586484579866,0.0960322851437243,0.0863729899220398,0.0780225834173341",-687.003005085144,"0.871864519977569,0.329809871667117,0.0309293513949258,0.0332096883820373,0.0427963652431499,0.0695986355157509",-688.78321275825,"0.161473428148134,0.609830279137057,0.08679763200701,0.0898807362689022,0.0730822163720132,0.0792003296869775",-694.091456208581,"0.999999951211188,0.000386474497875528,0.849315282180662,0.85714466819806,0.867943290247041,0.869103361975777",-694.155682359002,"0.999999996239607,0.00162715721689642,0.849314686412378,0.857142173988588,0.868926305504392,0.868216466441899",-689.308754710499,"0.0360013850134395,0.999999993171041,0.0924586484579866,0.0960322851437243,0.0863729899220398,0.0780225834173341",-689.27874054894,"0.0363488955321025,0.99999998443808,0.0919969301545791,0.0956285087677434,0.0888202980730102,0.0776031152734473"
"rs12913832",-1152.67204518243,"0.0223580297130401,1,0.34941508388418,0.506507950618793,0.411019510365814,0.227469394666082",-1152.67204518243,"0.0223580297130401,1,0.34941508388418,0.506507950618793,0.411019510365814,0.227469394666082",-1152.67156778001,"0.0253801095292632,0.949993830517867,0.348571814044934,0.505617026340953,0.409856369644472,0.22771550837342",-1156.47102608732,"8.76958579008758e-18,1,0.570895518127394,0.427272728421522,0.520047168356213,0.706225685183605",-1155.31654554819,"0.999999999946348,0.196580355743447,0.48627229523347,0.362435660565599,0.462963022402462,0.692932298518935",-1156.47102608732,"8.76958579008758e-18,0.0667681135705315,0.570895518127394,0.427272728421522,0.520047168356213,0.706225685183605",-1151.35514087806,"0.0796143821554991,0.14937723132118,0.384754323082504,0.539993524935506,0.43272331816729,0.221451648989854",-1152.63844052565,"0.022624931824222,0.999999966742022,0.348492504943648,0.50570924961455,0.415474533992151,0.226728784712531",-1156.47102608732,"8.76958579008758e-18,4.37875407593515e-06,0.570895518127394,0.427272728421522,0.520047168356213,0.706225685183605",-1156.47102518581,"0.999813159927032,0.000620068313783628,0.570895461305907,0.427271976880051,0.520047244159021,0.706224144930968"
"rs1800407",-529.019159334743,"6.06870875005548e-17,1,0.884105959096535,0.931034484423843,0.902522936187365,0.939024390074104",-529.019159334743,"6.06870875005548e-17,1,0.884105959096535,0.931034484423843,0.902522936187365,0.939024390074104",-529.019159334743,"6.06870875005548e-17,1,0.884105959096535,0.931034484423843,0.902522936187365,0.939024390074104",-526.692753078056,"0.0305234787942668,1,0.075889348721136,0.0484466987902626,0.067957887685169,0.0383982214331836",-526.382343621394,"0.0896686437236646,0.61224811663115,0.0629764898835802,0.0404174469917673,0.0600862900681652,0.0372206146931193",-525.431887165792,"0.503788283971292,0.440525771591514,0.0725413492957726,0.0457655651188039,0.0353455007565744,0.0409106319262643",-528.826022535148,"0.20985210053029,0.00570941048154488,0.88410646561236,0.931033916251315,0.901358333011901,0.938850178957395",-528.94185167377,"0.999999999055789,0.00257736768894224,0.884106114313674,0.931033380033309,0.902474044026513,0.936379693185434",-526.692753078056,"0.0305234787942668,1,0.075889348721136,0.0484466987902626,0.067957887685169,0.0383982214331836",-526.692753078056,"0.0305234787942668,1,0.075889348721136,0.0484466987902626,0.067957887685169,0.0383982214331836"
