"locus","null.major.loglik","null.major.pars","cluster.major.loglik","cluster.major.pars","popfluc.major.loglik","popfluc.major.pars","insol.major.loglik","insol.major.pars","milk.major.loglik","milk.major.pars","null.minor.loglik","null.minor.pars","cluster.minor.loglik","cluster.minor.pars","popfluc.minor.loglik","popfluc.minor.pars","insol.minor.loglik","insol.minor.pars","milk.minor.loglik","milk.minor.pars","cluster.inv.major.loglik","cluster.inv.major.pars","popfluc.inv.major.loglik","popfluc.inv.major.pars","insol.inv.major.loglik","insol.inv.major.pars","milk.inv.major.loglik","milk.inv.major.pars","cluster.inv.minor.loglik","cluster.inv.minor.pars","popfluc.inv.minor.loglik","popfluc.inv.minor.pars","insol.inv.minor.loglik","insol.inv.minor.pars","milk.inv.minor.loglik","milk.inv.minor.pars"
"rs1805008",-321.625399922276,"1.29580448718766e-16,1,0.961538463053331,0.968253967490636,0.961538461226911,0.959363957435512",-321.625399922276,"1.29580448718766e-16,1,0.961538463053331,0.968253967490636,0.961538461226911,0.959363957435512",-321.625399922276,"1.29580448718766e-16,0.614945602607999,0.961538463053331,0.968253967490636,0.961538461226911,0.959363957435512",-321.170690466076,"0.999999985445493,0.118693657683089,0.961273675828627,0.968212706857582,0.960130800403022,0.940601232952168",-321.590065054031,"0.100897136886667,0.189810457246351,0.952963899417027,0.967675863845962,0.961062321067579,0.957700896896443",-321.197673020509,"0.017871388092838,1,0.0296017201294063,0.0251140351473909,0.0308922249517705,0.0310404017477196",-321.197673020509,"0.017871388092838,1,0.0296017201294063,0.0251140351473909,0.0308922249517705,0.0310404017477196",-320.844445292884,"0.99999999504722,0.0434803534567445,2.59886812145056e-10,0.0217960906261001,0.0384509724874822,0.0406309493842951",-321.197673020509,"0.017871388092838,1,0.0296017201294063,0.0251140351473909,0.0308922249517705,0.0310404017477196",-321.197673020509,"0.017871388092838,1,0.0296017201294063,0.0251140351473909,0.0308922249517705,0.0310404017477196",-321.625399922276,"1.29580448718766e-16,0.42635840537804,0.961538463053331,0.968253967490636,0.961538461226911,0.959363957435512",-321.607810319462,"0.999999829323425,0.053991816153648,0.961331777203409,0.967908972908584,0.961476558035055,0.959242813866341",-321.625399922276,"1.29580448718766e-16,0.84922766633523,0.961538463053331,0.968253967490636,0.961538461226911,0.959363957435512",-321.625399922276,"1.29580448718766e-16,1,0.961538463053331,0.968253967490636,0.961538461226911,0.959363957435512",-316.727782815703,"0.904477475115823,0.0251423319494649,0.00307796086463248,0.0270315353672967,0.0351975925498804,0.002517494739536",-320.956211536204,"0.280356435601369,0.197802456284566,0.0232063279599922,0.0201612464864559,0.0292082381921577,0.0276697767002567",-320.221178629904,"0.343198154014577,0.19129654879363,0.0171071038759738,0.0092407994247802,0.0279334712364888,0.0371244809568456",-320.139537676759,"0.242935870979847,0.133454018403066,0.0146408620767511,0.011773556889204,0.0253201093925299,0.0338927961122075"
"rs28777",-861.937656486454,"0.0311576756843534,1,0.443164863922095,0.460642325574516,0.546945264799542,0.441375070922409",-861.663719180006,"0.0450857718837994,0.688202707231602,0.46364590894143,0.443516283788842,0.532444341870503,0.48254946789295",-861.889328770562,"0.0575639862032486,0.525418413487756,0.452886049464476,0.462945231874514,0.548919863150429,0.449159630748553",-861.937656486454,"0.0311576756843534,0.999999991218094,0.443164863922095,0.460642325574516,0.546945264799542,0.441375070922409",-861.867947532519,"0.134155756881908,0.371608456357626,0.386630388566401,0.499009522951988,0.58430763278522,0.448915223466442",-867.453352955852,"4.70910667633626e-17,1,0.44047619226496,0.449999999479139,0.357394366943068,0.443548387384787",-867.453352955852,"4.70910667633626e-17,0.00494771945981613,0.44047619226496,0.449999999479139,0.357394366943068,0.443548387384787",-867.453352955852,"4.70910667633626e-17,0.010269186503761,0.44047619226496,0.449999999479139,0.357394366943068,0.443548387384787",-867.453352955852,"0.556934402535845,0.000820206332889527,0.44047619226496,0.449999999479139,0.357394366943068,0.443548387384787",-867.453352955852,"4.70910667633626e-17,1,0.44047619226496,0.449999999479139,0.357394366943068,0.443548387384787",-861.87011039462,"0.0325080581770583,0.999999987213607,0.438390796697606,0.46411725899514,0.54793513499709,0.436529275202768",-861.937656486454,"0.0311576756843534,1,0.443164863922095,0.460642325574516,0.546945264799542,0.441375070922409",-860.317951927103,"0.134077976300849,0.310597465723446,0.372449841430895,0.371048227637394,0.53683864902225,0.496941295614004",-861.937656486454,"0.0311576756843534,0.999999998388759,0.443164863922095,0.460642325574516,0.546945264799542,0.441375070922409",-867.453352955852,"4.70910667633626e-17,0.00193543922411155,0.44047619226496,0.449999999479139,0.357394366943068,0.443548387384787",-867.453352955852,"4.70910667633626e-17,0.0237644624360219,0.44047619226496,0.449999999479139,0.357394366943068,0.443548387384787",-867.453352955852,"0.116696695234066,0.00228934096967628,0.44047619226496,0.449999999479139,0.357394366943068,0.443548387384787",-867.453352955852,"4.70910667633626e-17,1,0.44047619226496,0.449999999479139,0.357394366943068,0.443548387384787"
"rs16891982",-1302.1688342866,"0.055696355167373,1,0.270121788229368,0.283837250496101,0.360140538025892,0.219253388162135",-1301.50710335458,"0.0708827961356583,0.759750697838225,0.298928141270886,0.269624366601602,0.347602460685372,0.268255673251979",-1301.4613916661,"0.133801123030628,0.432455128816212,0.28511012003226,0.286827478016907,0.365411585507038,0.235546057818972",-1302.1688342866,"0.055696355167373,0.999999999896889,0.270121788229368,0.283837250496101,0.360140538025892,0.219253388162135",-1301.88393807365,"0.09344119786389,0.6726055192598,0.265924060521211,0.31742959349475,0.371372749045138,0.208590028250995",-1329.86552219611,"1.86928634876406e-17,1,0.528662418590112,0.570175429852281,0.470649899166159,0.595323738960894",-1329.86552219611,"1.86928634876406e-17,0.00130521781656028,0.528662418590112,0.570175429852281,0.470649899166159,0.595323738960894",-1329.86552219611,"1.86928634876406e-17,0.00178247360230688,0.528662418590112,0.570175429852281,0.470649899166159,0.595323738960894",-1329.86552219611,"0.331977170569162,0.00737579905696225,0.528662418590112,0.570175429852281,0.470649899166159,0.595323738960894",-1329.86552219611,"0.173543877992147,0.004366218499399,0.528662418590112,0.570175429852281,0.470649899166159,0.595323738960894",-1302.1688342866,"0.055696355167373,1,0.270121788229368,0.283837250496101,0.360140538025892,0.219253388162135",-1302.1688342866,"0.055696355167373,1,0.270121788229368,0.283837250496101,0.360140538025892,0.219253388162135",-1301.60716977668,"0.0881820845051466,0.5889978003647,0.241839080973777,0.250967610543019,0.354968720993857,0.24970655549075",-1302.1688342866,"0.055696355167373,0.999999991205909,0.270121788229368,0.283837250496101,0.360140538025892,0.219253388162135",-1329.86552219611,"1.86928634876406e-17,0.0144227441161535,0.528662418590112,0.570175429852281,0.470649899166159,0.595323738960894",-1329.86552219611,"0.02768959290093,0.00322313286707721,0.528662418590112,0.570175429852281,0.470649899166159,0.595323738960894",-1329.86552219611,"1.86928634876406e-17,0.0110123320831275,0.528662418590112,0.570175429852281,0.470649899166159,0.595323738960894",-1329.86552219611,"1.86928634876406e-17,0.00907371665084885,0.528662418590112,0.570175429852281,0.470649899166159,0.595323738960894"
"rs12821256",-190.592184619891,"1.91635093079443e-17,1,0.963963964186143,0.955555556419703,0.960063897904081,0.981283421369713",-190.591616684807,"0.00743933967991929,0.0190082856823135,0.963956955368238,0.955271067022202,0.959735167734557,0.981279960200434",-190.583707932808,"0.0806470367177406,0.0759157328372636,0.961569124763717,0.953655009373026,0.960008867256757,0.981267279995648",-190.592184619891,"0.00314138726215853,0.00942922118905271,0.963963964186143,0.955555556419703,0.960063897904081,0.981283421369713",-190.590984179562,"0.999999457308922,0.0418063866577768,0.963412539732075,0.955556042269614,0.960064157488301,0.981283354053852",-190.342397674078,"0.0177620740948698,1,0.0280656702151915,0.0359719058222227,0.0319989130086035,0.0142695014676996",-190.326189154858,"0.0184847038070206,0.999999982500782,0.0282840170928932,0.0356571577812862,0.0317158759903966,0.0143554614074059",-190.324700473237,"0.0410344044682288,0.453311221067705,0.028615544870291,0.0358725813262027,0.0320185589069124,0.0145262535954209",-190.047718344183,"0.999999977185855,0.148592464837039,0.0346971787919806,0.0440204392101172,0.0346704093781333,0.00682962025778315",-189.67771268842,"0.307457997896324,0.26681350292081,0.0118064065568679,0.0366925887073001,0.0333601214222429,0.0120291574446574",-190.317706554002,"0.563334426340775,0.000501084791869363,0.92114062021541,0.955330011588412,0.959544026867474,0.961275878615507",-190.591809454921,"0.999996180155779,0.0362171492833644,0.963959157646585,0.95553459036208,0.960062042663861,0.98127844897244",-190.589761067186,"0.999999899731,0.0543782785052201,0.963734521851253,0.954261854558017,0.960052915863719,0.981283488302998",-190.269940033062,"0.389110876971322,0.00233642085083474,0.859122262735334,0.861757496380968,0.96006374594091,0.981283477886066",-190.257150327281,"0.0385859703916659,0.55360174925605,0.0245398691900773,0.0367085448447661,0.0320647390574987,0.0113298377725859",-190.342098489746,"0.0188426460680303,0.932210800681953,0.0283196813632976,0.0359811995101909,0.03194174111399,0.0142224159950694",-190.342397674078,"0.0177620740948698,1,0.0280656702151915,0.0359719058222227,0.0319989130086035,0.0142695014676996",-190.342397674078,"0.0177620740948698,1,0.0280656702151915,0.0359719058222227,0.0319989130086035,0.0142695014676996"
"rs4959270",-1177.94100715594,"2.05465057005587e-16,1,0.486301369298047,0.433962272000427,0.555282551569273,0.563745015941101",-1177.94100715594,"2.05465057005587e-16,0.0262243418298447,0.486301369298047,0.433962272000427,0.555282551569273,0.563745015941101",-1177.15071305096,"0.3045376859679,0.053025859283772,0.415067190504752,0.405102578713277,0.55516498966656,0.563682385338477",-1177.94100715594,"2.05465057005587e-16,0.0238763943296134,0.486301369298047,0.433962272000427,0.555282551569273,0.563745015941101",-1176.98276837335,"0.999999999940412,0.0956643541447317,0.366891347613366,0.433023184849483,0.55501051386364,0.560747614122323",-1176.35382719605,"0.0143753724438073,1,0.458793690624506,0.524662520995806,0.402082897463148,0.382296471564508",-1176.35382719605,"0.0143753724438073,1,0.458793690624506,0.524662520995806,0.402082897463148,0.382296471564508",-1176.35382719605,"0.0143753724438073,1,0.458793690624506,0.524662520995806,0.402082897463148,0.382296471564508",-1175.65459182659,"0.108508794279563,0.259658335304284,0.491754012475637,0.5568900813889,0.409815572627327,0.336249977274511",-1176.35093729339,"0.0144756984867848,0.999999981578866,0.469288477818034,0.533937076129075,0.401787312528123,0.381925249585885",-1177.94100715594,"2.05465057005587e-16,0.0147580416234118,0.486301369298047,0.433962272000427,0.555282551569273,0.563745015941101",-1177.94100715594,"0.383286658737808,0.000665332930684224,0.486301369298047,0.433962272000427,0.555282551569273,0.563745015941101",-1177.92225622593,"0.999999600445968,0.0604677343166571,0.482336608644618,0.420298633078218,0.555067776685288,0.563743057712711",-1177.94100715594,"2.05465057005587e-16,1,0.486301369298047,0.433962272000427,0.555282551569273,0.563745015941101",-1176.110561705,"0.036345450905128,0.394753382619195,0.439454353732235,0.543453898115625,0.416517821607113,0.339978972401122",-1176.23163877665,"0.0309533754336384,0.490589430817186,0.451733769489645,0.521907786177598,0.399611229824982,0.376158914631401",-1176.35382719605,"0.0143753724438073,0.999999994156403,0.458793690624506,0.524662520995806,0.402082897463148,0.382296471564508",-1176.24446431013,"0.0214876074542473,0.547877909811324,0.465854343479457,0.51828842180496,0.397710733221139,0.383401664757293"
"rs12203592",-588.165828697868,"4.84882753810763e-16,1,0.835877860184368,0.698275856218253,0.875000003234567,0.911764704568829",-588.165828697868,"4.84882753810763e-16,0.000145136535205303,0.835877860184368,0.698275856218253,0.875000003234567,0.911764704568829",-586.601834986813,"0.381453587948367,0.0945176543746367,0.770260806900592,0.628457140849023,0.872575598081882,0.910624564204255",-588.156914900158,"0.999999968946229,0.0742808858461612,0.835872439988487,0.698275826248877,0.874916671475324,0.909005934025897",-587.856032897152,"0.999999999432549,0.0862606909569118,0.781857278449216,0.697858620154594,0.874950840272213,0.911316317344495",-587.921140472051,"0.00861624764114741,1,0.147067729478979,0.278059925143494,0.113379695027657,0.0784041042389363",-584.392977548017,"0.267798567011791,0.0467099324185612,0.161455277997022,0.24093756906002,0.0826904081711002,0.087603767879928",-587.915874590193,"0.0106574135129891,0.77479547010366,0.147441295460172,0.278222977771718,0.113339639314412,0.0785018011921756",-587.546408391477,"0.050539529529472,0.360509559174627,0.147985316660981,0.286132975445111,0.108115267757248,0.0653748772395528",-587.852418601504,"0.00986590351749197,0.999999989171476,0.148421098201533,0.280108134150054,0.111746844936388,0.0770438383275832",-588.148866315275,"0.0621732528706616,0.0381268179741071,0.822557464536976,0.698087961331729,0.874821091386394,0.901873780941811",-587.700525710137,"0.999999994206895,0.100036079055671,0.805474390117453,0.648416704978906,0.865957530056124,0.903411748522513",-586.069541466474,"0.999999998447278,0.0999136342524278,0.793713740620364,0.561810999512026,0.869417267429914,0.911541121327957",-586.294510970033,"0.422314313999953,0.00230445986108013,0.495423265126716,0.347484060607793,0.875000084736424,0.911764501182859",-587.921140472051,"0.00861624764114741,1,0.147067729478979,0.278059925143494,0.113379695027657,0.0784041042389363",-587.873777847645,"0.013388496174152,0.675871583320502,0.145284911669533,0.27614161858501,0.112101852957605,0.077074229357793",-587.921140472051,"0.00861624764114741,1,0.147067729478979,0.278059925143494,0.113379695027657,0.0784041042389363",-587.86343431767,"0.0231673113955309,0.306484373371491,0.147792634977981,0.268893872294923,0.110998821205293,0.0795681936752107"
"rs1042602",-887.910468331823,"2.25725577250959e-17,1,0.820422534399553,0.877192983176656,0.817757008218428,0.759927798313236",-887.910468331823,"2.25725577250959e-17,1,0.820422534399553,0.877192983176656,0.817757008218428,0.759927798313236",-887.910468331823,"2.25725577250959e-17,0.00555013814672888,0.820422534399553,0.877192983176656,0.817757013815597,0.759927798313236",-887.910468331823,"0.457762757182747,0.0108060565601766,0.820422534399553,0.877192983176656,0.817757008218428,0.759927798313236",-887.910468331823,"0.128111573100442,0.000274406556497941,0.820422534399553,0.877192983176656,0.817757008218428,0.759927798313236",-875.459394156285,"0.0474320576087469,1,0.0944657754767233,0.0728879813354658,0.107314810924366,0.127508819631868",-875.233711768097,"0.0560208182522005,0.848006961189384,0.101006269057253,0.0691965923428331,0.102783348931619,0.144043509062815",-871.931228411626,"0.515553395219777,0.203406367352621,0.0628929791822924,0.0417321263955253,0.11397089389045,0.156054236819415",-875.459394156285,"0.0474320576087469,0.999999997779306,0.0944657754767233,0.0728879813354658,0.107314810924366,0.127508819631868",-873.8601857378,"0.2079250895961,0.387097698721013,0.0586625237040495,0.0880800230565553,0.127077549637692,0.121917677004715",-887.910468331823,"2.25725577250959e-17,1,0.820422534399553,0.877192983176656,0.817757008218428,0.759927798313236",-887.910468331823,"0.0744162260375588,0.00379626722377361,0.820422534399553,0.877192983176656,0.817757008218428,0.759927798313236",-887.910468331823,"2.25725577250959e-17,1,0.820422534399553,0.877192983176656,0.817757008218428,0.759927798313236",-887.910468331823,"8.58585127452376e-19,0.000214396258396248,0.820422534399553,0.877192983176656,0.817757008218428,0.759927798313236",-875.348997241813,"0.0495589919830527,0.999999977038706,0.0916630837000623,0.0741677604874564,0.10779762532712,0.123727613193231",-875.459394156285,"0.0474320576087469,1,0.0944657754767233,0.0728879813354658,0.107314810924366,0.127508819631868",-874.036680900409,"0.215568055151228,0.303463097566266,0.0587925350562775,0.0363310713155519,0.100415367222421,0.176453334498865",-875.459394156285,"0.0474320576087469,0.99999999770499,0.0944657754767233,0.0728879813354658,0.107314810924366,0.127508819631868"
"rs1393350",-685.759632200124,"7.05879270902147e-17,1,0.880136986522174,0.888888891178145,0.871359222610735,0.847656248462361",-685.759632200124,"7.05879270902147e-17,1,0.880136986522174,0.888888891178145,0.871359222610735,0.847656248462361",-685.759632200124,"7.05879270902147e-17,0.918365044370019,0.880136986522174,0.888888891178145,0.871359222610735,0.847656248462361",-685.759632200124,"7.05879270902147e-17,0.88966248052354,0.880136986522174,0.888888891178145,0.871359222610735,0.847656248462361",-685.759632200124,"7.05879270902147e-17,1,0.880136986522174,0.888888891178145,0.871359222610735,0.847656248462361",-680.239957327723,"0.0384214213435223,1,0.0699330845500499,0.071446391055796,0.0821176631189956,0.088493975924733",-680.151885799521,"0.0482704608712937,0.788619939584067,0.0751323880048086,0.0676483427627299,0.0786622416732276,0.101764337467022",-672.153332553325,"0.935535493425268,0.146715659522049,0.0065378446091026,0.0176148542347237,0.0941406517487622,0.117699806506478",-680.239957327723,"0.0384214213435223,1,0.0699330845500499,0.071446391055796,0.0821176631189956,0.088493975924733",-679.804902933346,"0.176308864619448,0.375415763973013,0.0471899104783751,0.0842140709255806,0.0958222277459785,0.0863882903334798",-685.759632200124,"7.05879270902147e-17,1,0.880136986522174,0.888888891178145,0.871359222610735,0.847656248462361",-685.759632200124,"7.05879270902147e-17,1,0.880136986522174,0.888888891178145,0.871359222610735,0.847656248462361",-685.759632200124,"7.05879270902147e-17,1,0.880136986522174,0.888888891178145,0.871359222610735,0.847656248462361",-685.759632200124,"7.05879270902147e-17,0.995616909306708,0.880136986522174,0.888888891178145,0.871359222610735,0.847656248462361",-680.188630172358,"0.0401527314603467,0.999999984155011,0.0682286612845121,0.0724127969938036,0.0823871579135523,0.0862818594856485",-680.239957327723,"0.0384214213435223,1,0.0699330845500499,0.071446391055796,0.0821176631189956,0.088493975924733",-677.161360972418,"0.999999995325264,0.150049857232978,0.0351980377749637,0.0136799889196485,0.0902398070058559,0.14358008306054",-680.239957327723,"0.0384214213435223,1,0.0699330845500499,0.071446391055796,0.0821176631189956,0.088493975924733"
"rs12913832",-1151.73918522294,"0.0147012017407103,1,0.390594233766128,0.557369636858391,0.42064957224634,0.245757472227837",-1150.53814341019,"0.0992491444307815,0.140367252158618,0.433521111149774,0.547523666180444,0.412147611801795,0.289020265682424",-1151.73918522294,"0.0147012017407103,1,0.390594233766128,0.557369636858391,0.42064957224634,0.245757472227837",-1151.69806860455,"0.0198327449585881,0.722209873665812,0.395465470377812,0.564314615647883,0.420666688857886,0.240761683329587",-1150.31305614999,"0.421169091078286,0.184647165203711,0.246827041636847,0.584822235676482,0.454150009525905,0.258236896888728",-1153.36809285403,"1.49676710015144e-16,1,0.555970157899014,0.400000005221155,0.534198113133707,0.710116736689488",-1153.36809285403,"1.49676710015144e-16,1,0.555970157899014,0.400000005221155,0.534198113133707,0.710116736689488",-1153.17540022588,"0.124048090990987,0.10022023582132,0.524780274539371,0.378104793503084,0.531857436113102,0.708800601017579",-1153.33756949158,"0.999999976485937,0.0768964317162422,0.555954784355378,0.399998275240059,0.533932824482905,0.701118089309127",-1153.36809281703,"0.957645243767069,0.0146514367113017,0.555969471948639,0.399999907240749,0.53419837930812,0.710116903726651",-1151.73918522294,"0.0147012017407103,1,0.390594233766128,0.557369636858391,0.42064957224634,0.245757472227837",-1151.57116647164,"0.0300632672284322,0.512759425562044,0.383839161581264,0.554020712022663,0.417702632979707,0.240714801581402",-1151.72419257293,"0.017816854259203,0.77726316011227,0.387017792164493,0.553121872324279,0.419907772360056,0.249055246054401",-1151.73918522294,"0.0147012017407103,0.999999996433968,0.390594233766128,0.557369636858391,0.42064957224634,0.245757472227837",-1153.36809285403,"1.87095887518931e-17,0.0242138638128076,0.555970157899014,0.400000005221155,0.534198113133707,0.710116736689488",-1153.36809285403,"1.49676710015144e-16,0.010793856655254,0.555970157899014,0.400000005221155,0.534198113133707,0.710116736689488",-1152.38065781184,"0.999999997337015,0.0845576900725918,0.525009124794837,0.33159847880685,0.530198763096347,0.710012354820458",-1150.49689042009,"0.54130448690086,0.000918773272929249,0.107812657252125,0.0743414562415593,0.534197953639954,0.710116697702789"
"rs1800407",-516.393742230159,"4.31011413718754e-17,1,0.874172189683475,0.939655168211724,0.910550458261813,0.939024389420256",-516.393742230159,"4.31011413718754e-17,0.0218596298080165,0.874172189683475,0.939655168211724,0.910550458261813,0.939024389420256",-516.393742230159,"4.31011413718754e-17,0.0666708779884964,0.874172189683475,0.939655168211724,0.910550458261813,0.939024389420256",-516.378489880816,"0.999999860159648,0.0783967601610184,0.874162636214951,0.939655018490282,0.910446743113394,0.936152296096168",-516.393742230159,"0.258642931580271,0.00245113586189067,0.874172189683475,0.939655168211724,0.910550458261813,0.939024389420256",-512.914661513787,"0.0383738931086962,1,0.0737666499397944,0.0382294071410224,0.0561455252236621,0.0337969072943502",-511.162842791049,"0.110419384444851,0.366306267422757,0.0906479926299846,0.0307734517761242,0.0473177846582865,0.0539538532138613",-511.561651612496,"0.28866347325149,0.243181348254165,0.0644880652254945,0.0288078870083184,0.0565503752826361,0.0377216413228437",-512.914661513787,"0.0383738931086962,0.999999998766951,0.0737666499397944,0.0382294071410224,0.0561455252236621,0.0337969072943502",-511.145371383668,"0.999999989712876,0.168223151297501,0.0180395944789383,0.0548671074907297,0.0841747167718756,0.0472555287355287",-516.083744228648,"0.405382669438021,0.000507587700747049,0.805106414912612,0.939654767860055,0.910132339134424,0.904902714010779",-516.291257732541,"0.999999990616997,0.0817726939797695,0.865252513009122,0.934388361850968,0.908346476277391,0.936973539970392",-516.377333210743,"0.999999894913744,0.056117032209122,0.873196196552324,0.937614945053927,0.910518225699203,0.939024966853069",-515.922491267407,"0.357310272797262,0.0026396225494936,0.648415302945343,0.834612448926939,0.910550743227728,0.939024365869467",-512.914661513787,"0.0383738931086962,1,0.0737666499397944,0.0382294071410224,0.0561455252236621,0.0337969072943502",-512.914661513787,"0.0383738931086962,1,0.0737666499397944,0.0382294071410224,0.0561455252236621,0.0337969072943502",-512.378758927827,"0.109077689407009,0.384134014667133,0.058507973620964,0.0273311377670085,0.0543828663497089,0.0427801322581263",-512.914661513787,"0.0383738931086962,1,0.0737666499397944,0.0382294071410224,0.0561455252236621,0.0337969072943502"
