"locus","null.major.loglik","null.major.pars","stress.major.loglik","stress.major.pars","trauma.major.loglik","trauma.major.pars","null.minor.loglik","null.minor.pars","stress.minor.loglik","stress.minor.pars","trauma.minor.loglik","trauma.minor.pars","stress.inv.major.loglik","stress.inv.major.pars","trauma.inv.major.loglik","trauma.inv.major.pars","stress.inv.minor.loglik","stress.inv.minor.pars","trauma.inv.minor.loglik","trauma.inv.minor.pars"
"rs1805008",-297.710576757878,"4.73029114071034e-16,1,0.951923076461705,0.976190476075037,0.964656964994491,0.969964663918477",-297.710576757878,"0.180910179970887,0.00543935719967546,0.951923076461705,0.976190476075037,0.964656964994491,0.969964663918477",-297.710576757878,"4.73029114071034e-16,0.119462482301398,0.951923076461705,0.976190476075037,0.964656964994491,0.969964663918477",-293.219818373933,"0.0356716783673598,1,0.0263833797313714,0.0145188247617424,0.0223866176503854,0.0171497103460822",-293.008969911988,"0.999999952733,0.312201097450263,0.00857352917590328,0.00469817210305758,0.0109578321876573,0.0160189511943989",-293.196901454493,"0.0571085572639411,0.836099853057147,0.0257747288927069,0.0141467712140605,0.0216154524593678,0.0172731640829247",-297.710576757878,"4.73029114071034e-16,0.00875154347867515,0.951923076461705,0.976190476075037,0.964656964994491,0.969964663918477",-297.705805540111,"0.135217278467501,0.00420297714426447,0.951922646234607,0.976182762858308,0.964622092716126,0.969393772940432",-290.877655556888,"0.999999999088897,0.00140976031742865,0.0448721597282075,0.0238092888889535,0.0311867952347017,0.0296874975244581",-293.211397067595,"0.0458249345763988,0.305492465744461,0.0267967903965107,0.0147874271562015,0.0234248606032919,0.016887460984432"
"rs28777",-856.153044952583,"0.0348399137114135,1,0.402020706239076,0.439907284009968,0.560569679423813,0.377789416235999",-856.153044952583,"0.0348399137114135,1,0.402020706239076,0.439907284009968,0.560569679423813,0.377789416235999",-855.580321191378,"0.289749914165867,0.509814947601003,0.396524003629041,0.430382379676572,0.484173858174339,0.39301064243416",-862.961935170624,"1.81891240677543e-17,1,0.468253970711962,0.460000008455722,0.334507043278302,0.4919354763919",-862.961935170624,"0.30855653899844,0.000506989524738894,0.468253970711962,0.460000008455722,0.334507043278302,0.4919354763919",-862.961935170624,"1.81891240677543e-17,0.159469968460191,0.468253970711962,0.460000008455722,0.334507043278302,0.4919354763919",-856.117265130965,"0.0422704009519854,0.543668559019776,0.419066509287345,0.455357386303983,0.571274159333263,0.378679295086515",-856.153044952583,"0.0348399137114135,1,0.402020706239076,0.439907284009968,0.560569679423813,0.377789416235999",-862.961935170624,"1.15021792320049e-05,6.58531152780902e-06,0.468253970711962,0.460000008455722,0.334507043278302,0.4919354763919",-862.961935170624,"1.81891240677543e-17,1,0.468253970711962,0.460000008455722,0.334507043278302,0.4919354763919"
"rs16891982",-1309.21282638375,"0.0527449744027138,1,0.311880422650277,0.330549333891674,0.361805071601651,0.235871119460746",-1309.21282638375,"0.0527449744027138,1,0.311880422650277,0.330549333891674,0.361805071601651,0.235871119460746",-1309.21282638375,"0.0527449744027138,0.999999999784282,0.311880422650277,0.330549333891674,0.361805071601651,0.235871119460746",-1334.19477651571,"3.71052367630613e-17,1,0.49044586195147,0.526315781730566,0.477987421430107,0.584532374939459",-1334.19477651571,"0.284294704360819,0.0137520057000016,0.49044586195147,0.526315781730566,0.477987421430107,0.584532374939459",-1334.19477651571,"3.71052367630613e-17,0.067468431557451,0.49044586195147,0.526315781730566,0.477987421430107,0.584532374939459",-1309.18762887057,"0.0574598064670647,0.732775766871701,0.322833962054912,0.339980510147818,0.369045724792324,0.236120284835037",-1309.21282638375,"0.0527449744027138,1,0.311880422650277,0.330549333891674,0.361805071601651,0.235871119460746",-1334.19477651571,"3.71052367630613e-17,0.0458801675034586,0.49044586195147,0.526315781730566,0.477987421430107,0.584532374939459",-1334.19477651571,"3.71052367630613e-17,0.000370470627029498,0.49044586195147,0.526315781730566,0.477987421430107,0.584532374939459"
"rs12821256",-236.032620692887,"5.3774355286812e-17,1,0.954954955169484,0.94444444210152,0.948881789867823,0.970588235357502",-236.032620692887,"0.758590114534942,0.0166009264094296,0.954954955169484,0.94444444210152,0.948881789867823,0.970588235357502",-236.013098435614,"0.140816892128822,0.0361004767029591,0.954955131934279,0.94444494978607,0.941486817960804,0.970588121531237",-234.525696120065,"0.0383210354644078,1,0.0260244744040974,0.0344860289086751,0.0311567405595765,0.0161131201327657",-234.424009478013,"0.065413096279044,0.770169298074294,0.0231366399008994,0.0308021423212135,0.0287970141700007,0.015654156121858",-234.525696120065,"0.0383210354644078,1,0.0260244744040974,0.0344860289086751,0.0311567405595765,0.0161131201327657",-235.601836143954,"0.359549571500683,0.0158204768994582,0.954949664153038,0.94444326421591,0.947189448353406,0.970197395256992",-236.032620692887,"0.000243347616749248,0.000184415749467225,0.954954955169484,0.94444444210152,0.948881789867823,0.970588235357502",-234.525696119931,"0.0383221551429919,0.999856551220233,0.026024663289488,0.0344866525986258,0.0311572309492283,0.0161131349752728",-234.454840038518,"0.066046616332629,0.167350947880748,0.0267499670574579,0.0358248936683333,0.0328688375924239,0.0153817447947522"
"rs4959270",-1179.34748994942,"2.02277017383568e-17,1,0.52397259746912,0.415094347644284,0.550368554627253,0.55179282971073",-1179.12285104489,"0.999999995512158,0.168428963239472,0.479369727326226,0.382082498233114,0.52055003190678,0.545709021416452",-1179.34748994942,"2.02277017383568e-17,0.0211297593202104,0.52397259746912,0.415094347644284,0.550368554627253,0.55179282971073",-1178.56983717393,"0.0100664848608727,1,0.43788131638699,0.556317891182908,0.419665180273042,0.410021383554363",-1178.56983717393,"0.0100664848608727,1,0.43788131638699,0.556317891182908,0.419665180273042,0.410021383554363",-1178.5639973229,"0.0146781609976737,0.864826016031584,0.436571531776764,0.555047659697808,0.41790855818096,0.410306718223547",-1179.34748994942,"1.11998945865433e-08,5.90965960296607e-05,0.52397259746912,0.415094347644284,0.550368554627253,0.55179282971073",-1179.31661710869,"0.999999984019404,0.00190695123268552,0.523972459648588,0.415094490189287,0.550340808916747,0.547752109799211",-1178.24822115171,"0.999999997868952,0.000612026463938323,0.476026573290789,0.584903899415272,0.444204439993536,0.447752816506021",-1178.56861959796,"0.0107532008698062,0.651280329743488,0.437895731017205,0.556421344871419,0.42201034489254,0.409575389824437"
"rs12203592",-604.700280593957,"8.19309952177874e-17,1,0.835877861336589,0.706896549943462,0.872191011840657,0.898190045940921",-603.799256924897,"0.999999999071363,0.206704555299582,0.770974501722478,0.628390612391245,0.838074699082901,0.890265566129101",-604.700280593957,"8.19309952177874e-17,0.899122614527795,0.835877861336589,0.706896549943462,0.872191011840657,0.898190045940921",-604.138851614963,"0.0128282465333781,1,0.139194196359303,0.258728924587769,0.110405160339251,0.0854648090774714",-604.138851614963,"0.0128282465333781,1,0.139194196359303,0.258728924587769,0.110405160339251,0.0854648090774714",-603.461532467714,"0.441180372565372,0.37378816997094,0.139472567405471,0.257826548412929,0.0669824307588345,0.0894339527204501",-604.700280593957,"8.19309952177874e-17,1,0.835877861336589,0.706896549943462,0.872191011840657,0.898190045940921",-603.361708019304,"0.999999999890888,0.0050200390246139,0.835872054177284,0.706474046776672,0.87018863792241,0.879929504176814",-603.914547138846,"0.0309289739533808,0.230467732422135,0.145355603959849,0.268714440943774,0.112599727341716,0.0831667013740396",-604.138851614963,"0.0128282465333781,1,0.139194196359303,0.258728924587769,0.110405160339251,0.0854648090774714"
"rs1042602",-903.224935333528,"4.95150081896419e-17,1,0.827464793500083,0.824561405241988,0.803738318120281,0.774368229609893",-903.224935333528,"4.95150081896419e-17,1,0.827464793500083,0.824561405241988,0.803738318120281,0.774368229609893",-903.224935333528,"1.93418000740789e-19,0.0626638855605586,0.827464793500083,0.824561405241988,0.803738318120281,0.774368229609893",-884.166501394272,"0.0609219583096344,1,0.0737217263094202,0.0911254640099175,0.0982089250480096,0.0972821932834926",-883.963129815928,"0.090548012941775,0.814796279163795,0.0650474509465325,0.0810857353967131,0.0907012775051522,0.0953410336016424",-884.166501394272,"0.0609219583096344,1,0.0737217263094202,0.0911254640099175,0.0982089250480096,0.0972821932834926",-903.224935333528,"5.11265014014442e-05,4.19336001739217e-06,0.827464793500083,0.824561405241988,0.803738318120281,0.774368229609893",-903.224935333528,"0.0010295596743019,9.61889700892889e-05,0.827464793500083,0.824561405241988,0.803738318120281,0.774368229609893",-884.166501394272,"0.0609219583096344,1,0.0737217263094202,0.0911254640099175,0.0982089250480096,0.0972821932834926",-883.444174913396,"0.112571898122407,0.138505352581995,0.0824097981346128,0.102028388314339,0.111017211500606,0.0948865424202484"
"rs1393350",-679.433792826704,"2.38185287471954e-17,1,0.859589044282374,0.873015873139907,0.871359223022185,0.871093748966133",-679.433792826704,"2.38185287471954e-17,0.00356054301585986,0.859589044282374,0.873015873139907,0.871359223022185,0.871093748966133",-679.433792826704,"2.38185287471954e-17,0.000784270832397335,0.859589044282374,0.873015873139907,0.871359223022185,0.871093748966133",-672.962393344288,"0.0421811433965444,1,0.0783029988650442,0.0784620235267926,0.078233773995582,0.069671554322976",-670.717333944315,"0.999999999462863,0.329160839679478,0.0219132517246723,0.0221916570132401,0.0347414125532188,0.0622239973712937",-672.652866911294,"0.175940024255807,0.618186102402127,0.07383478513513,0.073523086666846,0.0658211079499283,0.0719641262557095",-679.433792826704,"2.38185287471954e-17,2.49394197897083e-06,0.859589044282374,0.873015873139907,0.871359223022185,0.871093748966133",-679.433620024148,"0.999999259348426,0.000921278367148857,0.859589054332147,0.873015998402475,0.871358487839275,0.871063563217536",-672.962393344288,"0.0421811433965444,1,0.0783029988650442,0.0784620235267926,0.078233773995582,0.069671554322976",-672.958409116439,"0.0424638996702979,0.999999974886234,0.0779748286839886,0.0781802137243647,0.0809904912651478,0.0693587333508796"
"rs12913832",-1156.30583150488,"0.0261005021786442,1,0.367625291427734,0.533235111092295,0.404141975132441,0.225238807117485",-1156.30583150488,"0.0261005021786442,0.999999998683792,0.367625291427734,0.533235111092295,0.404141975132441,0.225238807117485",-1156.22480170337,"0.0532975671978645,0.767788749125492,0.362690529863886,0.528065806915457,0.394824714283367,0.226770210339426",-1161.50788518447,"4.38579832977007e-17,1,0.537313428319735,0.39090908212239,0.515330187954347,0.696498058221666",-1160.30879431575,"0.999999999407211,0.196847622790415,0.451964013463185,0.327917055975915,0.457963078196982,0.68285303492582",-1161.50788518447,"1.03443200903094e-17,0.0362635881381262,0.537313428319735,0.39090908212239,0.515330187954347,0.696498058221666",-1152.6504016745,"0.272249163644607,0.0681826783981264,0.440833237026114,0.594614396068049,0.451565604757423,0.229209702638079",-1156.22797170516,"0.0264906057478795,0.99999998973942,0.36624112847873,0.532080191792607,0.409103553682391,0.224155839563059",-1161.50788518447,"4.38579832977007e-17,0.0236177077952759,0.537313428319735,0.39090908212239,0.515330187954347,0.696498058221666",-1161.50055053399,"0.999999970040709,0.0013547347645683,0.537313346332999,0.390905731795635,0.515326712036699,0.695814930191945"
"rs1800407",-553.450930119035,"7.59761151794908e-17,1,0.894039737061451,0.922413796250122,0.902522937055699,0.91666666682749",-553.450930119035,"0.700807181239335,0.0119806788035955,0.894039737061451,0.922413796250122,0.902522937055699,0.91666666682749",-553.450930119035,"7.59761151794908e-17,0.232121318723272,0.894039737061451,0.922413796250122,0.902522937055699,0.91666666682749",-549.017821796864,"0.0409104810435587,1,0.0592112810630785,0.0479456371450535,0.0593927537100557,0.0448438958942222",-548.264363612331,"0.179309010635986,0.532518290998223,0.0400554769085967,0.0326213936558146,0.0459283874533692,0.0421386397230076",-548.501265233861,"0.292376542955788,0.533029051842817,0.0561384486664014,0.0449321314906255,0.0433426204199198,0.0476781687748466",-553.260272468073,"0.452732389583125,0.00105902783986678,0.894039815333257,0.922413436109757,0.9013585796791,0.91653776286278",-553.450352922684,"0.999999601755792,0.00113078697805514,0.894039953535785,0.922413093526972,0.902522702869769,0.916577137806336",-549.017821796864,"0.0409104810435587,1,0.0592112810630785,0.0479456371450535,0.0593927537100557,0.0448438958942222",-549.017821796864,"0.0409104810435587,1,0.0592112810630785,0.0479456371450535,0.0593927537100557,0.0448438958942222"
